task_type,split,task_id,task_name,template,operation,object,destination,scene,initial_room,initial_states,goal_states,goal_count,required_state_changes,reference_length,reference_actions,initially_complete_proxy,selection,graph_available,human_completed
state_change_task,test,test_task17,Turn on all tvs,Turn {state} all {object},on,tvs,,1,bathroom,"[{""id"": 264, ""states"": [""ON""]}, {""id"": 426, ""states"": [""ON""]}]","[{""id"": 264, ""states"": [""ON""]}, {""id"": 426, ""states"": [""ON""]}]",2,0,0,[],True,12 equally spaced length-order quantiles; outcome-blind,False,False
state_change_task,test,test_task19,Turn on all tvs,Turn {state} all {object},on,tvs,,1,kitchen,"[{""id"": 264, ""states"": [""OFF""]}, {""id"": 426, ""states"": [""ON""]}]","[{""id"": 264, ""states"": [""ON""]}, {""id"": 426, ""states"": [""ON""]}]",2,1,2,"[""[WALK] <tv> (264)"", ""[SWITCHON] <tv> (264)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
state_change_task,test,test_task9,Turn on all lightswitches,Turn {state} all {object},on,lightswitches,,1,bedroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]","[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",4,1,2,"[""[WALK] <lightswitch> (71)"", ""[SWITCHON] <lightswitch> (71)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
state_change_task,test,test_task231,Turn off all lightswitches,Turn {state} all {object},off,lightswitches,,5,kitchen,"[{""id"": 103, ""states"": [""OFF""]}, {""id"": 201, ""states"": [""OFF""]}, {""id"": 249, ""states"": [""OFF""]}, {""id"": 366, ""states"": [""ON""]}]","[{""id"": 103, ""states"": [""OFF""]}, {""id"": 201, ""states"": [""OFF""]}, {""id"": 249, ""states"": [""OFF""]}, {""id"": 366, ""states"": [""OFF""]}]",4,1,2,"[""[WALK] <lightswitch> (366)"", ""[SWITCHOFF] <lightswitch> (366)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
state_change_task,test,test_task37,Turn off all tablelamps,Turn {state} all {object},off,tablelamps,,1,livingroom,"[{""id"": 102, ""states"": [""ON""]}, {""id"": 103, ""states"": [""ON""]}]","[{""id"": 102, ""states"": [""OFF""]}, {""id"": 103, ""states"": [""OFF""]}]",2,2,4,"[""[WALK] <tablelamp> (102)"", ""[SWITCHOFF] <tablelamp> (102)"", ""[WALK] <tablelamp> (103)"", ""[SWITCHOFF] <tablelamp> (103)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
state_change_task,test,test_task55,Turn on all lightswitches,Turn {state} all {object},on,lightswitches,,2,kitchen,"[{""id"": 48, ""states"": [""ON""]}, {""id"": 97, ""states"": [""OFF""]}, {""id"": 157, ""states"": [""OFF""]}, {""id"": 302, ""states"": [""ON""]}]","[{""id"": 48, ""states"": [""ON""]}, {""id"": 97, ""states"": [""ON""]}, {""id"": 157, ""states"": [""ON""]}, {""id"": 302, ""states"": [""ON""]}]",4,2,4,"[""[WALK] <lightswitch> (97)"", ""[SWITCHON] <lightswitch> (97)"", ""[WALK] <lightswitch> (157)"", ""[SWITCHON] <lightswitch> (157)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
state_change_task,test,test_task222,Turn off all lightswitches,Turn {state} all {object},off,lightswitches,,5,livingroom,"[{""id"": 103, ""states"": [""ON""]}, {""id"": 201, ""states"": [""OFF""]}, {""id"": 249, ""states"": [""ON""]}, {""id"": 366, ""states"": [""OFF""]}]","[{""id"": 103, ""states"": [""OFF""]}, {""id"": 201, ""states"": [""OFF""]}, {""id"": 249, ""states"": [""OFF""]}, {""id"": 366, ""states"": [""OFF""]}]",4,2,4,"[""[WALK] <lightswitch> (103)"", ""[SWITCHOFF] <lightswitch> (103)"", ""[WALK] <lightswitch> (249)"", ""[SWITCHOFF] <lightswitch> (249)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
state_change_task,test,test_task305,Turn off all lightswitches,Turn {state} all {object},off,lightswitches,,7,bathroom,"[{""id"": 54, ""states"": [""OFF""]}, {""id"": 85, ""states"": [""OFF""]}, {""id"": 277, ""states"": [""ON""]}, {""id"": 332, ""states"": [""ON""]}]","[{""id"": 54, ""states"": [""OFF""]}, {""id"": 85, ""states"": [""OFF""]}, {""id"": 277, ""states"": [""OFF""]}, {""id"": 332, ""states"": [""OFF""]}]",4,2,4,"[""[WALK] <lightswitch> (277)"", ""[SWITCHOFF] <lightswitch> (277)"", ""[WALK] <lightswitch> (332)"", ""[SWITCHOFF] <lightswitch> (332)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
state_change_task,test,test_task25,Turn off all lightswitches,Turn {state} all {object},off,lightswitches,,1,bathroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]","[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]",4,3,6,"[""[WALK] <lightswitch> (71)"", ""[SWITCHOFF] <lightswitch> (71)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHOFF] <lightswitch> (261)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHOFF] <lightswitch> (427)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
state_change_task,test,test_task250,Turn on all lightswitches,Turn {state} all {object},on,lightswitches,,6,bedroom,"[{""id"": 67, ""states"": [""OFF""]}, {""id"": 110, ""states"": [""OFF""]}, {""id"": 205, ""states"": [""ON""]}, {""id"": 315, ""states"": [""OFF""]}]","[{""id"": 67, ""states"": [""ON""]}, {""id"": 110, ""states"": [""ON""]}, {""id"": 205, ""states"": [""ON""]}, {""id"": 315, ""states"": [""ON""]}]",4,3,6,"[""[WALK] <lightswitch> (67)"", ""[SWITCHON] <lightswitch> (67)"", ""[WALK] <lightswitch> (110)"", ""[SWITCHON] <lightswitch> (110)"", ""[WALK] <lightswitch> (315)"", ""[SWITCHON] <lightswitch> (315)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
state_change_task,test,test_task133,Turn off all lightswitches,Turn {state} all {object},off,lightswitches,,3,bathroom,"[{""id"": 58, ""states"": [""ON""]}, {""id"": 239, ""states"": [""OFF""]}, {""id"": 278, ""states"": [""OFF""]}, {""id"": 344, ""states"": [""ON""]}, {""id"": 402, ""states"": [""ON""]}]","[{""id"": 58, ""states"": [""OFF""]}, {""id"": 239, ""states"": [""OFF""]}, {""id"": 278, ""states"": [""OFF""]}, {""id"": 344, ""states"": [""OFF""]}, {""id"": 402, ""states"": [""OFF""]}]",5,3,6,"[""[WALK] <lightswitch> (58)"", ""[SWITCHOFF] <lightswitch> (58)"", ""[WALK] <lightswitch> (344)"", ""[SWITCHOFF] <lightswitch> (344)"", ""[WALK] <lightswitch> (402)"", ""[SWITCHOFF] <lightswitch> (402)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
state_change_task,test,test_task121,Turn off all lightswitches,Turn {state} all {object},off,lightswitches,,3,kitchen,"[{""id"": 58, ""states"": [""ON""]}, {""id"": 239, ""states"": [""ON""]}, {""id"": 278, ""states"": [""ON""]}, {""id"": 344, ""states"": [""ON""]}, {""id"": 402, ""states"": [""ON""]}]","[{""id"": 58, ""states"": [""OFF""]}, {""id"": 239, ""states"": [""OFF""]}, {""id"": 278, ""states"": [""OFF""]}, {""id"": 344, ""states"": [""OFF""]}, {""id"": 402, ""states"": [""OFF""]}]",5,5,10,"[""[WALK] <lightswitch> (58)"", ""[SWITCHOFF] <lightswitch> (58)"", ""[WALK] <lightswitch> (239)"", ""[SWITCHOFF] <lightswitch> (239)"", ""[WALK] <lightswitch> (278)"", ""[SWITCHOFF] <lightswitch> (278)"", ""[WALK] <lightswitch> (344)"", ""[SWITCHOFF] <lightswitch> (344)"", ""[WALK] <lightswitch> (402)"", ""[SWITCHOFF] <lightswitch> (402)""]",False,12 equally spaced length-order quantiles; outcome-blind,False,False
