case_id,model,arm,repeat,status,action,json_condition_label,stripped_action_label,task_progress,vh_executable
pc_WALK_violate_1,gpt-4o-mini-2024-07-18,C0_fixed_candidate,0,offline_fixed_candidate,[WALK] <apple> (101),false,false,not_evaluated,not_evaluated
pc_WALK_violate_1,gpt-4o-mini-2024-07-18,C1_llm_feedback,0,regenerated,[GRAB] <apple> (101),false,false,not_evaluated,not_evaluated
pc_WALK_violate_1,gpt-4o-mini-2024-07-18,C2_symbolic_feedback,0,regenerated,[GRAB] <apple> (101),false,false,not_evaluated,not_evaluated
pc_WALK_violate_1,gpt-4o-mini-2024-07-18,C4_neutral_revision,0,regenerated,[GRAB] <apple> (101),false,false,not_evaluated,not_evaluated
pc_WALK_violate_1,gpt-4o-2024-08-06,C0_fixed_candidate,0,offline_fixed_candidate,[WALK] <apple> (101),false,false,not_evaluated,not_evaluated
pc_WALK_violate_1,gpt-4o-2024-08-06,C1_llm_feedback,0,regenerated,"You are already holding the apple (101) in your right hand, so no further action is needed to complete the task of picking up the apple.",invalid_format,invalid_format,not_evaluated,not_evaluated
pc_WALK_violate_1,gpt-4o-2024-08-06,C2_symbolic_feedback,0,regenerated,[GRAB] <apple> (101),false,false,not_evaluated,not_evaluated
pc_WALK_violate_1,gpt-4o-2024-08-06,C4_neutral_revision,0,regenerated,"You are already holding the apple (101) in your right hand, so no further action is needed to complete the task of picking up the apple.",invalid_format,invalid_format,not_evaluated,not_evaluated
pc_GRAB_violate_1,gpt-4o-mini-2024-07-18,C0_fixed_candidate,0,offline_fixed_candidate,[GRAB] <apple> (101),false,false,not_evaluated,not_evaluated
pc_GRAB_violate_1,gpt-4o-mini-2024-07-18,C1_llm_feedback,0,accepted_without_revision,[GRAB] <apple> (101),false,false,not_evaluated,not_evaluated
pc_GRAB_violate_1,gpt-4o-mini-2024-07-18,C2_symbolic_feedback,0,regenerated,[WALK] <apple> (101),true,true,not_evaluated,not_evaluated
pc_GRAB_violate_1,gpt-4o-mini-2024-07-18,C4_neutral_revision,0,regenerated,[OPEN] <fridge> (102),false,false,not_evaluated,not_evaluated
pc_GRAB_violate_1,gpt-4o-2024-08-06,C0_fixed_candidate,0,offline_fixed_candidate,[GRAB] <apple> (101),false,false,not_evaluated,not_evaluated
pc_GRAB_violate_1,gpt-4o-2024-08-06,C1_llm_feedback,0,accepted_without_revision,[GRAB] <apple> (101),false,false,not_evaluated,not_evaluated
pc_GRAB_violate_1,gpt-4o-2024-08-06,C2_symbolic_feedback,0,regenerated,[WALK] <apple> (101),true,true,not_evaluated,not_evaluated
pc_GRAB_violate_1,gpt-4o-2024-08-06,C4_neutral_revision,0,regenerated,[GRAB] apple (101),invalid_format,invalid_format,not_evaluated,not_evaluated
pc_SWITCHON_violate_1,gpt-4o-mini-2024-07-18,C0_fixed_candidate,0,offline_fixed_candidate,[SWITCHON] <lightswitch> (103),false,false,not_evaluated,not_evaluated
pc_SWITCHON_violate_1,gpt-4o-mini-2024-07-18,C1_llm_feedback,0,accepted_without_revision,[SWITCHON] <lightswitch> (103),false,false,not_evaluated,not_evaluated
pc_SWITCHON_violate_1,gpt-4o-mini-2024-07-18,C2_symbolic_feedback,0,regenerated,[WALK] <lightswitch> (103),true,true,not_evaluated,not_evaluated
pc_SWITCHON_violate_1,gpt-4o-mini-2024-07-18,C4_neutral_revision,0,regenerated,[SWITCHON] <lightswitch> (103),false,false,not_evaluated,not_evaluated
pc_SWITCHON_violate_1,gpt-4o-2024-08-06,C0_fixed_candidate,0,offline_fixed_candidate,[SWITCHON] <lightswitch> (103),false,false,not_evaluated,not_evaluated
pc_SWITCHON_violate_1,gpt-4o-2024-08-06,C1_llm_feedback,0,regenerated,[WALK] <lightswitch> (103),true,true,not_evaluated,not_evaluated
pc_SWITCHON_violate_1,gpt-4o-2024-08-06,C2_symbolic_feedback,0,regenerated,[WALK] <lightswitch> (103),true,true,not_evaluated,not_evaluated
pc_SWITCHON_violate_1,gpt-4o-2024-08-06,C4_neutral_revision,0,regenerated,[SWITCHON] lightswitch (103),invalid_format,invalid_format,not_evaluated,not_evaluated
pc_SWITCHOFF_violate_1,gpt-4o-mini-2024-07-18,C0_fixed_candidate,0,offline_fixed_candidate,[SWITCHOFF] <lightswitch> (103),false,false,not_evaluated,not_evaluated
pc_SWITCHOFF_violate_1,gpt-4o-mini-2024-07-18,C1_llm_feedback,0,accepted_without_revision,[SWITCHOFF] <lightswitch> (103),false,false,not_evaluated,not_evaluated
pc_SWITCHOFF_violate_1,gpt-4o-mini-2024-07-18,C2_symbolic_feedback,0,regenerated,[WALK] <lightswitch> (103),true,true,not_evaluated,not_evaluated
pc_SWITCHOFF_violate_1,gpt-4o-mini-2024-07-18,C4_neutral_revision,0,regenerated,[SWITCHOFF] <lightswitch> (103),false,false,not_evaluated,not_evaluated
pc_SWITCHOFF_violate_1,gpt-4o-2024-08-06,C0_fixed_candidate,0,offline_fixed_candidate,[SWITCHOFF] <lightswitch> (103),false,false,not_evaluated,not_evaluated
pc_SWITCHOFF_violate_1,gpt-4o-2024-08-06,C1_llm_feedback,0,accepted_without_revision,[SWITCHOFF] <lightswitch> (103),false,false,not_evaluated,not_evaluated
pc_SWITCHOFF_violate_1,gpt-4o-2024-08-06,C2_symbolic_feedback,0,regenerated,[WALK] <lightswitch> (103),true,true,not_evaluated,not_evaluated
pc_SWITCHOFF_violate_1,gpt-4o-2024-08-06,C4_neutral_revision,0,regenerated,[SWITCHOFF] <lightswitch> (103),false,false,not_evaluated,not_evaluated
pc_OPEN_violate_1,gpt-4o-mini-2024-07-18,C0_fixed_candidate,0,offline_fixed_candidate,[OPEN] <fridge> (102),false,false,not_evaluated,not_evaluated
pc_OPEN_violate_1,gpt-4o-mini-2024-07-18,C1_llm_feedback,0,accepted_without_revision,[OPEN] <fridge> (102),false,false,not_evaluated,not_evaluated
pc_OPEN_violate_1,gpt-4o-mini-2024-07-18,C2_symbolic_feedback,0,regenerated,[WALK] <fridge> (102),true,true,not_evaluated,not_evaluated
pc_OPEN_violate_1,gpt-4o-mini-2024-07-18,C4_neutral_revision,0,regenerated,[WALK] <fridge> (102),true,true,not_evaluated,not_evaluated
pc_OPEN_violate_1,gpt-4o-2024-08-06,C0_fixed_candidate,0,offline_fixed_candidate,[OPEN] <fridge> (102),false,false,not_evaluated,not_evaluated
pc_OPEN_violate_1,gpt-4o-2024-08-06,C1_llm_feedback,0,accepted_without_revision,[OPEN] <fridge> (102),false,false,not_evaluated,not_evaluated
pc_OPEN_violate_1,gpt-4o-2024-08-06,C2_symbolic_feedback,0,regenerated,[WALK] <fridge> (102),true,true,not_evaluated,not_evaluated
pc_OPEN_violate_1,gpt-4o-2024-08-06,C4_neutral_revision,0,regenerated,[OPEN] fridge (102),invalid_format,invalid_format,not_evaluated,not_evaluated
pc_CLOSE_violate_1,gpt-4o-mini-2024-07-18,C0_fixed_candidate,0,offline_fixed_candidate,[CLOSE] <fridge> (102),false,false,not_evaluated,not_evaluated
pc_CLOSE_violate_1,gpt-4o-mini-2024-07-18,C1_llm_feedback,0,accepted_without_revision,[CLOSE] <fridge> (102),false,false,not_evaluated,not_evaluated
pc_CLOSE_violate_1,gpt-4o-mini-2024-07-18,C2_symbolic_feedback,0,regenerated,[WALK] <fridge> (102),true,true,not_evaluated,not_evaluated
pc_CLOSE_violate_1,gpt-4o-mini-2024-07-18,C4_neutral_revision,0,regenerated,[WALK] <fridge> (102),true,true,not_evaluated,not_evaluated
pc_CLOSE_violate_1,gpt-4o-2024-08-06,C0_fixed_candidate,0,offline_fixed_candidate,[CLOSE] <fridge> (102),false,false,not_evaluated,not_evaluated
pc_CLOSE_violate_1,gpt-4o-2024-08-06,C1_llm_feedback,0,accepted_without_revision,[CLOSE] <fridge> (102),false,false,not_evaluated,not_evaluated
pc_CLOSE_violate_1,gpt-4o-2024-08-06,C2_symbolic_feedback,0,regenerated,[WALK] <fridge> (102),true,true,not_evaluated,not_evaluated
pc_CLOSE_violate_1,gpt-4o-2024-08-06,C4_neutral_revision,0,regenerated,[CLOSE] fridge (102),invalid_format,invalid_format,not_evaluated,not_evaluated
pc_PUT_violate_1,gpt-4o-mini-2024-07-18,C0_fixed_candidate,0,offline_fixed_candidate,[PUT] <apple> (101) <kitchentable> (104),false,false,not_evaluated,not_evaluated
