model,arm,goal_observations,goal_source_missing,direct_field_disagreements
gpt-4o-2024-08-06,C0_no_precheck,162,0,0
gpt-4o-2024-08-06,C1_budgeted,166,0,0
gpt-4o-2024-08-06,C1_llm_precheck,168,0,0
gpt-4o-2024-08-06,C2_symbolic_precheck,208,0,0
gpt-4o-2024-08-06,C3_execution_feedback,176,0,0
gpt-4o-2024-08-06,C4_budgeted,154,0,0
gpt-4o-2024-08-06,C5_full_graph,182,0,0
gpt-4o-2024-08-06,R_fixed,168,0,0
gpt-4o-2024-08-06,R_none,36,0,0
gpt-4o-2024-08-06,R_random,166,0,0
gpt-4o-mini-2024-07-18,C0_no_precheck,152,0,0
gpt-4o-mini-2024-07-18,C1_budgeted,110,0,0
gpt-4o-mini-2024-07-18,C1_llm_precheck,142,0,0
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,126,0,0
gpt-4o-mini-2024-07-18,C3_execution_feedback,168,0,0
gpt-4o-mini-2024-07-18,C4_budgeted,138,0,0
gpt-4o-mini-2024-07-18,C5_full_graph,134,0,0
gpt-4o-mini-2024-07-18,R_fixed,208,0,0
gpt-4o-mini-2024-07-18,R_none,36,0,0
gpt-4o-mini-2024-07-18,R_random,142,0,0
