run_id,kind,task_id,model,arm,repeat,reference_success,outcome,success,final_goal,reference_length,saved_successful_actions,execution_attempts,failed_execution_attempts,api_calls,prior_incomplete_attempt_calls,input_tokens,output_tokens,estimated_usd,seconds
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,0,False,Execution Failure,False,False,8,3,4,1,8,0,2716,58,0.00737,14.426399218995357
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,1,False,Execution Failure,False,False,8,3,4,1,8,0,2716,58,0.00737,13.303438203998667
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r2,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,2,False,Execution Failure,False,False,8,3,4,1,8,0,2716,58,0.00737,12.018539941003837
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18_r0,placement_task,test_task1,gpt-4o-mini-2024-07-18,C0_no_precheck,0,False,Execution Failure,False,False,8,5,6,1,12,0,4131,81,0.00066825,19.766584746997978
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18_r1,placement_task,test_task1,gpt-4o-mini-2024-07-18,C0_no_precheck,1,False,Execution Failure,False,False,8,1,2,1,4,0,1290,22,0.00020669999999999998,8.525141436999547
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18_r2,placement_task,test_task1,gpt-4o-mini-2024-07-18,C0_no_precheck,2,False,Execution Failure,False,False,8,1,2,1,4,0,1290,22,0.00020669999999999998,7.5611392399951
placement_task_test_task1_C1_budgeted_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C1_budgeted,0,False,Success,True,True,8,8,8,0,41,0,14916,803,0.04532,49.415606385999126
placement_task_test_task1_C1_budgeted_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,C1_budgeted,1,False,Execution Failure,False,False,8,3,4,1,20,0,6942,362,0.020975,22.284097471994755
placement_task_test_task1_C1_budgeted_gpt-4o-2024-08-06_r2,placement_task,test_task1,gpt-4o-2024-08-06,C1_budgeted,2,False,Success,True,True,8,8,8,0,41,0,14922,809,0.045395,43.39257211700169
placement_task_test_task1_C1_budgeted_gpt-4o-mini-2024-07-18_r0,placement_task,test_task1,gpt-4o-mini-2024-07-18,C1_budgeted,0,False,Execution Failure,False,False,8,6,7,1,35,0,12523,751,0.00232905,44.09506741000223
