task_type,method,prompt,model_claimed,precheck,dimension,value,n,success_n,SR,mean_executed
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,task_name,Turn on all lightswitches,128,7,0.0546875,0
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,task_name,Turn on all tvs,12,3,0.25,0
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,task_name,Turn off all lightswitches,128,0,0,20
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,task_name,Turn off all tablelamps,20,0,0,20
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,task_name,Turn off all computers,12,0,0,16.5
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,task_name,Turn off all tvs,12,0,0,9.333333333333334
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,scene,1,48,2,0.041666666666666664,10.791666666666666
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,scene,2,40,1,0.025,10.95
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,scene,3,72,1,0.013888888888888888,11.11111111111111
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,scene,4,32,1,0.03125,10
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,scene,5,44,2,0.045454545454545456,10.227272727272727
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,scene,6,40,2,0.05,8.6
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,scene,7,36,1,0.027777777777777776,11.11111111111111
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,object,lightswitches,256,7,0.02734375,10
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,object,tvs,24,3,0.125,4.666666666666667
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,object,tablelamps,20,0,0,20
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,object,computers,12,0,0,16.5
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,destination,,312,10,0.03205128205128205,10.48076923076923
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,goal_count,4,192,6,0.03125,10
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,goal_count,2,48,3,0.0625,11.458333333333334
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,goal_count,5,64,1,0.015625,10
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,goal_count,3,8,0,0,20
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,required_state_changes,0,27,10,0.37037037037037035,11.555555555555555
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,required_state_changes,1,85,0,0,10.776470588235295
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,required_state_changes,2,107,0,0,10.299065420560748
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,required_state_changes,3,69,0,0,10.144927536231885
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,required_state_changes,4,22,0,0,10
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,required_state_changes,5,2,0,0,10
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,reference_length,0,27,10,0.37037037037037035,11.555555555555555
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,reference_length,2,85,0,0,10.776470588235295
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,reference_length,4,107,0,0,10.299065420560748
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,reference_length,6,69,0,0,10.144927536231885
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,reference_length,8,22,0,0,10
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,reference_length,10,2,0,0,10
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,task_name,Turn on all lightswitches,128,102,0.796875,4.2421875
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,task_name,Turn on all tvs,12,6,0.5,1.0833333333333333
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,task_name,Turn off all lightswitches,128,64,0.5,6.5234375
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,task_name,Turn off all tablelamps,20,8,0.4,1.5
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,task_name,Turn off all computers,12,7,0.5833333333333334,2.3333333333333335
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,task_name,Turn off all tvs,12,8,0.6666666666666666,2.6666666666666665
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,scene,1,48,34,0.7083333333333334,3.75
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,scene,2,40,25,0.625,4.575
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,scene,3,72,35,0.4861111111111111,6.527777777777778
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,scene,4,32,24,0.75,3.96875
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,scene,5,44,23,0.5227272727272727,4.25
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,scene,6,40,29,0.725,4.15
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,scene,7,36,25,0.6944444444444444,4.666666666666667
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,object,lightswitches,256,166,0.6484375,5.3828125
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,object,tvs,24,14,0.5833333333333334,1.875
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,object,tablelamps,20,8,0.4,1.5
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,object,computers,12,7,0.5833333333333334,2.3333333333333335
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,destination,,312,195,0.625,4.746794871794871
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,goal_count,4,192,132,0.6875,4.796875
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,goal_count,2,48,28,0.5833333333333334,1.875
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,goal_count,5,64,34,0.53125,7.140625
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,goal_count,3,8,1,0.125,1.625
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,required_state_changes,0,27,23,0.8518518518518519,0
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,required_state_changes,1,85,53,0.6235294117647059,2.3176470588235296
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,required_state_changes,2,107,66,0.616822429906542,4.644859813084112
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,required_state_changes,3,69,41,0.5942028985507246,7.869565217391305
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,required_state_changes,4,22,11,0.5,10.681818181818182
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,required_state_changes,5,2,1,0.5,4.5
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,reference_length,0,27,23,0.8518518518518519,0
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,reference_length,2,85,53,0.6235294117647059,2.3176470588235296
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,reference_length,4,107,66,0.616822429906542,4.644859813084112
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,reference_length,6,69,41,0.5942028985507246,7.869565217391305
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,reference_length,8,22,11,0.5,10.681818181818182
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,reference_length,10,2,1,0.5,4.5
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,task_name,Turn on all lightswitches,128,124,0.96875,3.9453125
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,task_name,Turn on all tvs,12,12,1,1.75
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,task_name,Turn off all lightswitches,128,75,0.5859375,6
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,task_name,Turn off all tablelamps,20,12,0.6,1.65
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,task_name,Turn off all computers,12,12,1,1.8333333333333333
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,task_name,Turn off all tvs,12,11,0.9166666666666666,1.5
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,scene,1,48,38,0.7916666666666666,3.5833333333333335
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,scene,2,40,21,0.525,5.075
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,scene,3,72,58,0.8055555555555556,5.472222222222222
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,scene,4,32,25,0.78125,4.53125
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,scene,5,44,41,0.9318181818181818,2.977272727272727
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,scene,6,40,33,0.825,3.875
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,scene,7,36,30,0.8333333333333334,4.638888888888889
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,object,lightswitches,256,199,0.77734375,4.97265625
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,object,tvs,24,23,0.9583333333333334,1.625
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,object,tablelamps,20,12,0.6,1.65
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,object,computers,12,12,1,1.8333333333333333
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,destination,,312,246,0.7884615384615384,4.381410256410256
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,goal_count,4,192,146,0.7604166666666666,4.661458333333333
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,goal_count,2,48,42,0.875,1.625
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,goal_count,5,64,53,0.828125,5.90625
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,goal_count,3,8,5,0.625,2
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,required_state_changes,0,27,23,0.8518518518518519,0
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,required_state_changes,1,85,62,0.7294117647058823,2.3058823529411763
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,required_state_changes,2,107,84,0.7850467289719626,4.5327102803738315
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,required_state_changes,3,69,57,0.8260869565217391,6.869565217391305
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,required_state_changes,4,22,18,0.8181818181818182,8.681818181818182
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,required_state_changes,5,2,2,1,10.5
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,reference_length,0,27,23,0.8518518518518519,0
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,reference_length,2,85,62,0.7294117647058823,2.3058823529411763
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,reference_length,4,107,84,0.7850467289719626,4.5327102803738315
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,reference_length,6,69,57,0.8260869565217391,6.869565217391305
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,reference_length,8,22,18,0.8181818181818182,8.681818181818182
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,reference_length,10,2,2,1,10.5
