task_type,split,dimension,value,n,task_names,scenes
state_change_task,test,task_name,Turn off all computers,12,1,"[1, 2, 7]"
state_change_task,test,task_name,Turn off all lightswitches,128,1,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,test,task_name,Turn off all tablelamps,20,1,"[1, 2, 3, 5]"
state_change_task,test,task_name,Turn off all tvs,12,1,"[1, 5, 6]"
state_change_task,test,task_name,Turn on all lightswitches,128,1,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,test,task_name,Turn on all tvs,12,1,"[1, 5, 6]"
state_change_task,test,object,computers,12,1,"[1, 2, 7]"
state_change_task,test,object,lightswitches,256,2,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,test,object,tablelamps,20,1,"[1, 2, 3, 5]"
state_change_task,test,object,tvs,24,2,"[1, 5, 6]"
state_change_task,test,operation,off,172,4,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,test,operation,on,140,2,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,test,destination,,312,6,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,test,scene,1,48,6,[1]
state_change_task,test,scene,2,40,4,[2]
state_change_task,test,scene,3,72,3,[3]
state_change_task,test,scene,4,32,2,[4]
state_change_task,test,scene,5,44,5,[5]
state_change_task,test,scene,6,40,4,[6]
state_change_task,test,scene,7,36,3,[7]
state_change_task,test,initial_room,bathroom,69,6,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,test,initial_room,bedroom,72,6,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,test,initial_room,kitchen,86,6,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,test,initial_room,livingroom,85,6,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,example,task_name,Turn off all candles,20,1,"[1, 2, 3, 7]"
state_change_task,example,task_name,Turn off all cellphones,44,1,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,example,task_name,Turn off all faucets,28,1,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,example,task_name,Turn on all computers,12,1,"[1, 2, 7]"
state_change_task,example,task_name,Turn on all faucets,28,1,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,example,task_name,Turn on all tablelamps,20,1,"[1, 2, 3, 5]"
state_change_task,example,object,candles,20,1,"[1, 2, 3, 7]"
state_change_task,example,object,cellphones,44,1,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,example,object,computers,12,1,"[1, 2, 7]"
state_change_task,example,object,faucets,56,2,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,example,object,tablelamps,20,1,"[1, 2, 3, 5]"
state_change_task,example,operation,off,92,3,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,example,operation,on,60,3,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,example,destination,,152,6,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,example,scene,1,36,6,[1]
state_change_task,example,scene,2,28,6,[2]
state_change_task,example,scene,3,28,5,[3]
state_change_task,example,scene,4,12,3,[4]
state_change_task,example,scene,5,16,4,[5]
state_change_task,example,scene,6,12,3,[6]
state_change_task,example,scene,7,20,5,[7]
state_change_task,example,initial_room,bathroom,34,6,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,example,initial_room,bedroom,52,6,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,example,initial_room,kitchen,35,6,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,example,initial_room,livingroom,31,6,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,all,task_name,Turn off all candles,20,1,"[1, 2, 3, 7]"
state_change_task,all,task_name,Turn off all cellphones,44,1,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,all,task_name,Turn off all computers,12,1,"[1, 2, 7]"
state_change_task,all,task_name,Turn off all faucets,28,1,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,all,task_name,Turn off all lightswitches,128,1,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,all,task_name,Turn off all tablelamps,20,1,"[1, 2, 3, 5]"
state_change_task,all,task_name,Turn off all tvs,12,1,"[1, 5, 6]"
state_change_task,all,task_name,Turn on all computers,12,1,"[1, 2, 7]"
state_change_task,all,task_name,Turn on all faucets,28,1,"[1, 2, 3, 4, 5, 6, 7]"
state_change_task,all,task_name,Turn on all lightswitches,128,1,"[1, 2, 3, 4, 5, 6, 7]"
