task_type,split,template,object,operation,destination,scene,initial_room,initial_states_json,n,task_ids,reference_n,reference_mean,reference_median,reference_q1,reference_q3,reference_min,reference_max,reference_sd_sample,reference_iqr
state_change_task,test,Turn {state} all {object},computers,off,,1,bathroom,"[{""id"": 174, ""states"": [""OFF""]}, {""id"": 433, ""states"": [""OFF""]}]",1,"[""test_task44""]",1,0,0.0,0.0,0.0,0,0,,0.0
state_change_task,test,Turn {state} all {object},computers,off,,1,bedroom,"[{""id"": 174, ""states"": [""ON""]}, {""id"": 433, ""states"": [""ON""]}]",1,"[""test_task41""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},computers,off,,1,kitchen,"[{""id"": 174, ""states"": [""ON""]}, {""id"": 433, ""states"": [""OFF""]}]",1,"[""test_task42""]",1,2,2.0,2.0,2.0,2,2,,0.0
state_change_task,test,Turn {state} all {object},computers,off,,1,livingroom,"[{""id"": 174, ""states"": [""OFF""]}, {""id"": 433, ""states"": [""ON""]}]",1,"[""test_task43""]",1,2,2.0,2.0,2.0,2,2,,0.0
state_change_task,test,Turn {state} all {object},computers,off,,2,bathroom,"[{""id"": 94, ""states"": [""OFF""]}, {""id"": 295, ""states"": [""OFF""]}]",1,"[""test_task84""]",1,0,0.0,0.0,0.0,0,0,,0.0
state_change_task,test,Turn {state} all {object},computers,off,,2,bedroom,"[{""id"": 94, ""states"": [""OFF""]}, {""id"": 295, ""states"": [""ON""]}]",1,"[""test_task83""]",1,2,2.0,2.0,2.0,2,2,,0.0
state_change_task,test,Turn {state} all {object},computers,off,,2,kitchen,"[{""id"": 94, ""states"": [""ON""]}, {""id"": 295, ""states"": [""OFF""]}]",1,"[""test_task82""]",1,2,2.0,2.0,2.0,2,2,,0.0
state_change_task,test,Turn {state} all {object},computers,off,,2,kitchen,"[{""id"": 94, ""states"": [""ON""]}, {""id"": 295, ""states"": [""ON""]}]",1,"[""test_task81""]",1,4,4.0,4.0,4.0,4,4,,0.0
state_change_task,test,Turn {state} all {object},computers,off,,7,bedroom,"[{""id"": 274, ""states"": [""ON""]}, {""id"": 324, ""states"": [""OFF""]}]",1,"[""test_task310""]",1,2,2.0,2.0,2.0,2,2,,0.0
state_change_task,test,Turn {state} all {object},computers,off,,7,livingroom,"[{""id"": 274, ""states"": [""OFF""]}, {""id"": 324, ""states"": [""OFF""]}]",1,"[""test_task312""]",1,0,0.0,0.0,0.0,0,0,,0.0
state_change_task,test,Turn {state} all {object},computers,off,,7,livingroom,"[{""id"": 274, ""states"": [""OFF""]}, {""id"": 324, ""states"": [""ON""]}]",1,"[""test_task311""]",1,2,2.0,2.0,2.0,2,2,,0.0
