task_type,dimension,test_distinct,example_distinct,shared_n,shared_values,test_only,example_only
state_change_task,task_name,6,6,0,[],"[""Turn off all computers"", ""Turn off all lightswitches"", ""Turn off all tablelamps"", ""Turn off all tvs"", ""Turn on all lightswitches"", ""Turn on all tvs""]","[""Turn off all candles"", ""Turn off all cellphones"", ""Turn off all faucets"", ""Turn on all computers"", ""Turn on all faucets"", ""Turn on all tablelamps""]"
state_change_task,scene,7,7,7,"[1, 2, 3, 4, 5, 6, 7]",[],[]
state_change_task,object,4,5,2,"[""computers"", ""tablelamps""]","[""lightswitches"", ""tvs""]","[""candles"", ""cellphones"", ""faucets""]"
state_change_task,operation,2,2,2,"[""off"", ""on""]",[],[]
state_change_task,destination,1,1,1,"[""""]",[],[]
state_change_task,initial_room,4,4,4,"[""bathroom"", ""bedroom"", ""kitchen"", ""livingroom""]",[],[]
placement_task,task_name,38,19,0,[],"[""Put all alcohols in the microwave"", ""Put all alcohols on the kitchentable"", ""Put all apples on the kitchencounter"", ""Put all bananas in the fridge"", ""Put all bananas in the microwave"", ""Put all bananas on the coffeetable"", ""Put all bananas on the desk"", ""Put all bananas on the kitchencounter"", ""Put all bananas on the oventray"", ""Put all bellpeppers in the fridge"", ""Put all bellpeppers on the kitchencounter"", ""Put all bellpeppers on the kitchentable"", ""Put all chips in the microwave"", ""Put all chips on the kitchentable"", ""Put all crackers in the fridge"", ""Put all crackers in the microwave"", ""Put all crackers on the kitchentable"", ""Put all creamybuns in the fridge"", ""Put all creamybuns in the microwave"", ""Put all creamybuns on the kitchentable"", ""Put all cupcakes in the microwave"", ""Put all cupcakes on the coffeetable"", ""Put all cupcakes on the desk"", ""Put all cupcakes on the kitchencounter"", ""Put all juices in the fridge"", ""Put all milks in the microwave"", ""Put all milks on the coffeetable"", ""Put all milks on the cuttingboard"", ""Put all milks on the desk"", ""Put all milks on the kitchencounter"", ""Put all peaches in the fridge"", ""Put all peaches in the microwave"", ""Put all peaches on the kitchencounter"", ""Put all peaches on the kitchentable"", ""Put all plums in the fridge"", ""Put all plums in the fryingpan"", ""Put all plums in the microwave"", ""Put all plums on the kitchencounter""]","[""Put all apples in the fridge"", ""Put all apples in the microwave"", ""Put all apples on the kitchentable"", ""Put all bananas on the kitchentable"", ""Put all bellpeppers in the microwave"", ""Put all chips in the fridge"", ""Put all chips on the coffeetable"", ""Put all crackers on the coffeetable"", ""Put all cupcakes in the fridge"", ""Put all cupcakes on the kitchentable"", ""Put all juices in the microwave"", ""Put all juices on the coffeetable"", ""Put all milks in the fridge"", ""Put all milks on the kitchentable"", ""Put all peaches on the coffeetable"", ""Put all peaches on the oventray"", ""Put all plums on the coffeetable"", ""Put all plums on the kitchentable"", ""Put all plums on the oventray""]"
placement_task,scene,7,7,7,"[1, 2, 3, 4, 5, 6, 7]",[],[]
placement_task,object,12,10,10,"[""apples"", ""bananas"", ""bellpeppers"", ""chips"", ""crackers"", ""cupcakes"", ""juices"", ""milks"", ""peaches"", ""plums""]","[""alcohols"", ""creamybuns""]",[]
placement_task,operation,2,2,2,"[""in"", ""on""]",[],[]
placement_task,destination,9,5,5,"[""coffeetable"", ""fridge"", ""kitchentable"", ""microwave"", ""oventray""]","[""cuttingboard"", ""desk"", ""fryingpan"", ""kitchencounter""]",[]
placement_task,initial_room,4,4,4,"[""bathroom"", ""bedroom"", ""kitchen"", ""livingroom""]",[],[]
