model,arm,n,correct,false_end,false_continue,strict_format
gpt-4o-2024-08-06,C0_no_precheck,60,60,0,0,60
gpt-4o-2024-08-06,C1_budgeted,65,65,0,0,65
gpt-4o-2024-08-06,C1_llm_precheck,63,63,0,0,63
gpt-4o-2024-08-06,C2_symbolic_precheck,84,84,0,0,83
gpt-4o-2024-08-06,C3_execution_feedback,62,62,0,0,62
gpt-4o-2024-08-06,C4_budgeted,59,59,0,0,59
gpt-4o-2024-08-06,C5_full_graph,71,71,0,0,71
gpt-4o-2024-08-06,R_fixed,63,63,0,0,62
gpt-4o-2024-08-06,R_none,12,12,0,0,12
gpt-4o-2024-08-06,R_random,61,61,0,0,61
gpt-4o-mini-2024-07-18,C0_no_precheck,54,53,1,0,54
gpt-4o-mini-2024-07-18,C1_budgeted,39,37,2,0,39
gpt-4o-mini-2024-07-18,C1_llm_precheck,52,52,0,0,52
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,46,41,5,0,46
gpt-4o-mini-2024-07-18,C3_execution_feedback,60,55,5,0,60
gpt-4o-mini-2024-07-18,C4_budgeted,47,44,3,0,47
gpt-4o-mini-2024-07-18,C5_full_graph,48,44,4,0,48
gpt-4o-mini-2024-07-18,R_fixed,83,80,3,0,83
gpt-4o-mini-2024-07-18,R_none,12,12,0,0,12
gpt-4o-mini-2024-07-18,R_random,55,52,3,0,55
