task_type,method,dimension,value,n,success_n,SR,success_difference_n,success_difference_mean,success_difference_median,success_difference_q1,success_difference_q3,success_difference_min,success_difference_max,success_difference_sd_sample,success_difference_iqr
state_change_task,multi-prompts/gpt-4o-mini/no-precheck,cosine_bin,<0.8,280,201,0.7178571428571429,201,0.5771144278606966,0.0,0.0,1.0,-1,7,1.412541550482957,1.0
state_change_task,multi-prompts/gpt-4o-mini/no-precheck,same_object,False,280,201,0.7178571428571429,201,0.5771144278606966,0.0,0.0,1.0,-1,7,1.412541550482957,1.0
state_change_task,multi-prompts/gpt-4o-mini/no-precheck,same_operation,True,280,201,0.7178571428571429,201,0.5771144278606966,0.0,0.0,1.0,-1,7,1.412541550482957,1.0
state_change_task,multi-prompts/gpt-4o-mini/no-precheck,same_destination,True,312,217,0.6955128205128205,217,0.5299539170506913,0.0,0.0,1.0,-1,7,1.3710892188383215,1.0
state_change_task,multi-prompts/gpt-4o-mini/no-precheck,cosine_bin,>=0.9,20,9,0.45,9,0,0.0,0.0,0.0,0,0,0.0,0.0
state_change_task,multi-prompts/gpt-4o-mini/no-precheck,same_object,True,32,16,0.5,16,-0.0625,0.0,0.0,0.0,-1,0,0.25,0.0
state_change_task,multi-prompts/gpt-4o-mini/no-precheck,same_operation,False,32,16,0.5,16,-0.0625,0.0,0.0,0.0,-1,0,0.25,0.0
state_change_task,multi-prompts/gpt-4o-mini/no-precheck,cosine_bin,0.8–0.9,12,7,0.5833333333333334,7,-0.14285714285714285,0.0,0.0,0.0,-1,0,0.37796447300922725,0.0
state_change_task,multi-prompts/gpt-4o-mini/precheck,cosine_bin,<0.8,280,214,0.7642857142857142,214,0.48130841121495327,0.0,0.0,1.0,-2,5,1.1163009708351976,1.0
state_change_task,multi-prompts/gpt-4o-mini/precheck,same_object,False,280,214,0.7642857142857142,214,0.48130841121495327,0.0,0.0,1.0,-2,5,1.1163009708351976,1.0
state_change_task,multi-prompts/gpt-4o-mini/precheck,same_operation,True,280,214,0.7642857142857142,214,0.48130841121495327,0.0,0.0,1.0,-2,5,1.1163009708351976,1.0
state_change_task,multi-prompts/gpt-4o-mini/precheck,same_destination,True,312,234,0.75,234,0.4444444444444444,0.0,0.0,1.0,-2,5,1.0839796685330576,1.0
state_change_task,multi-prompts/gpt-4o-mini/precheck,cosine_bin,>=0.9,20,11,0.55,11,0.18181818181818182,0.0,0.0,0.0,0,2,0.6030226891555273,0.0
state_change_task,multi-prompts/gpt-4o-mini/precheck,same_object,True,32,20,0.625,20,0.05,0.0,0.0,0.0,-1,2,0.5104177855340404,0.0
state_change_task,multi-prompts/gpt-4o-mini/precheck,same_operation,False,32,20,0.625,20,0.05,0.0,0.0,0.0,-1,2,0.5104177855340404,0.0
state_change_task,multi-prompts/gpt-4o-mini/precheck,cosine_bin,0.8–0.9,12,9,0.75,9,-0.1111111111111111,0.0,0.0,0.0,-1,0,0.3333333333333333,0.0
state_change_task,multi-prompts/gpt-4o/no-precheck,cosine_bin,<0.8,280,253,0.9035714285714286,253,-0.20948616600790515,0.0,-1.0,0.0,-1,3,0.8726379301572509,1.0
state_change_task,multi-prompts/gpt-4o/no-precheck,same_object,False,280,253,0.9035714285714286,253,-0.20948616600790515,0.0,-1.0,0.0,-1,3,0.8726379301572509,1.0
state_change_task,multi-prompts/gpt-4o/no-precheck,same_operation,True,280,253,0.9035714285714286,253,-0.20948616600790515,0.0,-1.0,0.0,-1,3,0.8726379301572509,1.0
state_change_task,multi-prompts/gpt-4o/no-precheck,same_destination,True,312,272,0.8717948717948718,272,-0.20955882352941177,0.0,-1.0,0.0,-1,3,0.85272549161773,1.0
state_change_task,multi-prompts/gpt-4o/no-precheck,cosine_bin,>=0.9,20,9,0.45,9,-0.2222222222222222,0.0,0.0,0.0,-1,0,0.44095855184409843,0.0
state_change_task,multi-prompts/gpt-4o/no-precheck,same_object,True,32,19,0.59375,19,-0.21052631578947367,0.0,-0.5,0.0,-1,1,0.5353033790313108,0.5
state_change_task,multi-prompts/gpt-4o/no-precheck,same_operation,False,32,19,0.59375,19,-0.21052631578947367,0.0,-0.5,0.0,-1,1,0.5353033790313108,0.5
state_change_task,multi-prompts/gpt-4o/no-precheck,cosine_bin,0.8–0.9,12,10,0.8333333333333334,10,-0.2,0.0,-0.75,0.0,-1,1,0.6324555320336759,0.75
state_change_task,multi-prompts/gpt-4o/precheck,cosine_bin,<0.8,280,258,0.9214285714285714,258,-0.313953488372093,0.0,-1.0,0.0,-1,2,0.6820938450040824,1.0
state_change_task,multi-prompts/gpt-4o/precheck,same_object,False,280,258,0.9214285714285714,258,-0.313953488372093,0.0,-1.0,0.0,-1,2,0.6820938450040824,1.0
state_change_task,multi-prompts/gpt-4o/precheck,same_operation,True,280,258,0.9214285714285714,258,-0.313953488372093,0.0,-1.0,0.0,-1,2,0.6820938450040824,1.0
state_change_task,multi-prompts/gpt-4o/precheck,same_destination,True,312,279,0.8942307692307693,279,-0.2939068100358423,0.0,-1.0,0.0,-1,2,0.6782850825094825,1.0
state_change_task,multi-prompts/gpt-4o/precheck,cosine_bin,>=0.9,20,9,0.45,9,-0.1111111111111111,0.0,0.0,0.0,-1,1,0.6009252125773316,0.0
state_change_task,multi-prompts/gpt-4o/precheck,same_object,True,32,21,0.65625,21,-0.047619047619047616,0.0,0.0,0.0,-1,1,0.5895922723535711,0.0
state_change_task,multi-prompts/gpt-4o/precheck,same_operation,False,32,21,0.65625,21,-0.047619047619047616,0.0,0.0,0.0,-1,1,0.5895922723535711,0.0
state_change_task,multi-prompts/gpt-4o/precheck,cosine_bin,0.8–0.9,12,12,1.0,12,0,0.0,0.0,0.0,-1,1,0.6030226891555273,0.0
state_change_task,single-prompt/gpt-4o-mini/no-precheck,cosine_bin,<0.8,280,180,0.6428571428571429,180,0.4444444444444444,0.0,0.0,0.0,-1,6,1.1147674167934682,0.0
state_change_task,single-prompt/gpt-4o-mini/no-precheck,same_object,False,280,180,0.6428571428571429,180,0.4444444444444444,0.0,0.0,0.0,-1,6,1.1147674167934682,0.0
state_change_task,single-prompt/gpt-4o-mini/no-precheck,same_operation,True,280,180,0.6428571428571429,180,0.4444444444444444,0.0,0.0,0.0,-1,6,1.1147674167934682,0.0
state_change_task,single-prompt/gpt-4o-mini/no-precheck,same_destination,True,312,192,0.6153846153846154,192,0.4114583333333333,0.0,0.0,0.0,-1,6,1.088961250726876,0.0
state_change_task,single-prompt/gpt-4o-mini/no-precheck,cosine_bin,>=0.9,20,7,0.35,7,-0.14285714285714285,0.0,0.0,0.0,-1,0,0.37796447300922725,0.0
state_change_task,single-prompt/gpt-4o-mini/no-precheck,same_object,True,32,12,0.375,12,-0.08333333333333333,0.0,0.0,0.0,-1,0,0.28867513459481287,0.0
state_change_task,single-prompt/gpt-4o-mini/no-precheck,same_operation,False,32,12,0.375,12,-0.08333333333333333,0.0,0.0,0.0,-1,0,0.28867513459481287,0.0
state_change_task,single-prompt/gpt-4o-mini/no-precheck,cosine_bin,0.8–0.9,12,5,0.4166666666666667,5,0,0.0,0.0,0.0,0,0,0.0,0.0
state_change_task,single-prompt/gpt-4o-mini/precheck,cosine_bin,<0.8,280,180,0.6428571428571429,180,0.3277777777777778,0.0,0.0,0.0,-1,5,1.0455041047375027,0.0
state_change_task,single-prompt/gpt-4o-mini/precheck,same_object,False,280,180,0.6428571428571429,180,0.3277777777777778,0.0,0.0,0.0,-1,5,1.0455041047375027,0.0
state_change_task,single-prompt/gpt-4o-mini/precheck,same_operation,True,280,180,0.6428571428571429,180,0.3277777777777778,0.0,0.0,0.0,-1,5,1.0455041047375027,0.0
state_change_task,single-prompt/gpt-4o-mini/precheck,same_destination,True,312,195,0.625,195,0.3076923076923077,0.0,0.0,0.0,-1,5,1.009078536322271,0.0
state_change_task,single-prompt/gpt-4o-mini/precheck,cosine_bin,>=0.9,20,8,0.4,8,0.125,0.0,0.0,0.0,0,1,0.3535533905932738,0.0
state_change_task,single-prompt/gpt-4o-mini/precheck,same_object,True,32,15,0.46875,15,0.06666666666666667,0.0,0.0,0.0,0,1,0.25819888974716115,0.0
state_change_task,single-prompt/gpt-4o-mini/precheck,same_operation,False,32,15,0.46875,15,0.06666666666666667,0.0,0.0,0.0,0,1,0.25819888974716115,0.0
state_change_task,single-prompt/gpt-4o-mini/precheck,cosine_bin,0.8–0.9,12,7,0.5833333333333334,7,0,0.0,0.0,0.0,0,0,0.0,0.0
state_change_task,single-prompt/gpt-4o/no-precheck,cosine_bin,<0.8,280,218,0.7785714285714286,218,0.04128440366972477,0.0,-1.0,0.0,-1,5,1.3104128177193595,1.0
state_change_task,single-prompt/gpt-4o/no-precheck,same_object,False,280,218,0.7785714285714286,218,0.04128440366972477,0.0,-1.0,0.0,-1,5,1.3104128177193595,1.0
state_change_task,single-prompt/gpt-4o/no-precheck,same_operation,True,280,218,0.7785714285714286,218,0.04128440366972477,0.0,-1.0,0.0,-1,5,1.3104128177193595,1.0
state_change_task,single-prompt/gpt-4o/no-precheck,same_destination,True,312,237,0.7596153846153846,237,0.046413502109704644,0.0,-1.0,0.0,-1,5,1.2663999613825807,1.0
state_change_task,single-prompt/gpt-4o/no-precheck,cosine_bin,>=0.9,20,9,0.45,9,0.1111111111111111,0.0,0.0,0.0,0,1,0.3333333333333333,0.0
state_change_task,single-prompt/gpt-4o/no-precheck,same_object,True,32,19,0.59375,19,0.10526315789473684,0.0,0.0,0.0,-1,1,0.5671308728156005,0.0
state_change_task,single-prompt/gpt-4o/no-precheck,same_operation,False,32,19,0.59375,19,0.10526315789473684,0.0,0.0,0.0,-1,1,0.5671308728156005,0.0
state_change_task,single-prompt/gpt-4o/no-precheck,cosine_bin,0.8–0.9,12,10,0.8333333333333334,10,0.1,0.0,0.0,0.75,-1,1,0.7378647873726218,0.75
state_change_task,single-prompt/gpt-4o/precheck,cosine_bin,<0.8,280,222,0.7928571428571428,222,-0.013513513513513514,0.0,-1.0,0.0,-1,5,1.0613733514740578,1.0
state_change_task,single-prompt/gpt-4o/precheck,same_object,False,280,222,0.7928571428571428,222,-0.013513513513513514,0.0,-1.0,0.0,-1,5,1.0613733514740578,1.0
state_change_task,single-prompt/gpt-4o/precheck,same_operation,True,280,222,0.7928571428571428,222,-0.013513513513513514,0.0,-1.0,0.0,-1,5,1.0613733514740578,1.0
state_change_task,single-prompt/gpt-4o/precheck,same_destination,True,312,246,0.7884615384615384,246,-0.0040650406504065045,0.0,-1.0,0.0,-1,5,1.0241889473305597,1.0
state_change_task,single-prompt/gpt-4o/precheck,cosine_bin,>=0.9,20,12,0.6,12,0.3333333333333333,0.0,0.0,1.0,0,1,0.49236596391733095,1.0
state_change_task,single-prompt/gpt-4o/precheck,same_object,True,32,24,0.75,24,0.08333333333333333,0.0,0.0,0.0,-1,1,0.5835920751217648,0.0
state_change_task,single-prompt/gpt-4o/precheck,same_operation,False,32,24,0.75,24,0.08333333333333333,0.0,0.0,0.0,-1,1,0.5835920751217648,0.0
state_change_task,single-prompt/gpt-4o/precheck,cosine_bin,0.8–0.9,12,12,1.0,12,-0.16666666666666666,0.0,-0.25,0.0,-1,1,0.5773502691896257,0.25
placement_task,multi-prompts/gpt-4o-mini/no-precheck,cosine_bin,0.8–0.9,44,19,0.4318181818181818,19,-0.6842105263157895,-1.0,-1.0,0.0,-2,1,0.7492686492653552,1.0
placement_task,multi-prompts/gpt-4o-mini/no-precheck,same_object,True,92,43,0.4673913043478261,43,-0.8604651162790697,-1.0,-1.0,0.0,-3,1,0.888588912099703,1.0
placement_task,multi-prompts/gpt-4o-mini/no-precheck,same_operation,True,56,25,0.44642857142857145,25,-0.48,0.0,-1.0,0.0,-2,1,0.714142842854285,1.0
placement_task,multi-prompts/gpt-4o-mini/no-precheck,same_destination,False,92,43,0.4673913043478261,43,-0.8604651162790697,-1.0,-1.0,0.0,-3,1,0.888588912099703,1.0
placement_task,multi-prompts/gpt-4o-mini/no-precheck,cosine_bin,<0.8,57,25,0.43859649122807015,25,-0.92,-1.0,-2.0,0.0,-3,0,0.9966610925150702,2.0
placement_task,multi-prompts/gpt-4o-mini/no-precheck,same_operation,False,47,20,0.425531914893617,20,-1.25,-1.0,-2.0,-1.0,-3,0,0.910465468000326,1.0
placement_task,multi-prompts/gpt-4o-mini/no-precheck,same_object,False,11,2,0.18181818181818182,2,0,0.0,0.0,0.0,0,0,0.0,0.0
placement_task,multi-prompts/gpt-4o-mini/no-precheck,same_destination,True,11,2,0.18181818181818182,2,0,0.0,0.0,0.0,0,0,0.0,0.0
placement_task,multi-prompts/gpt-4o-mini/no-precheck,cosine_bin,>=0.9,2,1,0.5,1,-1,-1.0,-1.0,-1.0,-1,-1,,0.0
placement_task,multi-prompts/gpt-4o-mini/precheck,cosine_bin,0.8–0.9,44,15,0.3409090909090909,15,-0.6666666666666666,-1.0,-1.0,0.0,-3,3,1.3451854182690985,1.0
