model,arm,n,same_label,extracted_unknown_full_known,opposite_known_labels
gpt-4o-2024-08-06,C0_no_precheck,51,51,0,0
gpt-4o-2024-08-06,C1_budgeted,54,54,0,0
gpt-4o-2024-08-06,C1_llm_precheck,54,54,0,0
gpt-4o-2024-08-06,C2_symbolic_precheck,74,74,0,0
gpt-4o-2024-08-06,C3_execution_feedback,53,53,0,0
gpt-4o-2024-08-06,C4_budgeted,49,49,0,0
gpt-4o-2024-08-06,C5_full_graph,62,62,0,0
gpt-4o-2024-08-06,R_fixed,54,54,0,0
gpt-4o-2024-08-06,R_none,9,9,0,0
gpt-4o-2024-08-06,R_random,52,52,0,0
gpt-4o-mini-2024-07-18,C0_no_precheck,45,45,0,0
gpt-4o-mini-2024-07-18,C1_budgeted,33,33,0,0
gpt-4o-mini-2024-07-18,C1_llm_precheck,43,43,0,0
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,37,37,0,0
gpt-4o-mini-2024-07-18,C3_execution_feedback,50,50,0,0
gpt-4o-mini-2024-07-18,C4_budgeted,38,38,0,0
gpt-4o-mini-2024-07-18,C5_full_graph,39,39,0,0
gpt-4o-mini-2024-07-18,R_fixed,73,73,0,0
gpt-4o-mini-2024-07-18,R_none,9,9,0,0
gpt-4o-mini-2024-07-18,R_random,44,44,0,0
