model,target,baseline,subset,n,target_only_success,baseline_only_success,same_success_status,success_rate_difference,common_success_nonzero_n,mean_common_success_nonzero_action_difference
gpt-4o-2024-08-06,C1_llm_precheck,C0_no_precheck,all_four_diagnostic,12,0,0,12,0.0,6,0.5
gpt-4o-2024-08-06,C1_llm_precheck,C0_no_precheck,reference_passed_only,9,0,0,9,0.0,6,0.5
gpt-4o-2024-08-06,C2_symbolic_precheck,C1_llm_precheck,all_four_diagnostic,12,1,0,11,0.08333333333333333,6,0.8333333333333334
gpt-4o-2024-08-06,C2_symbolic_precheck,C1_llm_precheck,reference_passed_only,9,0,0,9,0.0,6,0.8333333333333334
gpt-4o-2024-08-06,C3_execution_feedback,C1_llm_precheck,all_four_diagnostic,12,0,0,12,0.0,6,-0.6666666666666666
gpt-4o-2024-08-06,C3_execution_feedback,C1_llm_precheck,reference_passed_only,9,0,0,9,0.0,6,-0.6666666666666666
gpt-4o-2024-08-06,C4_budgeted,C1_budgeted,all_four_diagnostic,12,0,1,11,-0.08333333333333333,7,-0.42857142857142855
gpt-4o-2024-08-06,C4_budgeted,C1_budgeted,reference_passed_only,9,0,0,9,0.0,6,-0.16666666666666666
gpt-4o-2024-08-06,C5_full_graph,C2_symbolic_precheck,all_four_diagnostic,12,0,1,11,-0.08333333333333333,6,0.0
gpt-4o-2024-08-06,C5_full_graph,C2_symbolic_precheck,reference_passed_only,9,0,0,9,0.0,6,0.0
gpt-4o-2024-08-06,R_fixed,C1_llm_precheck,all_four_diagnostic,12,0,0,12,0.0,6,0.0
gpt-4o-2024-08-06,R_fixed,C1_llm_precheck,reference_passed_only,9,0,0,9,0.0,6,0.0
gpt-4o-2024-08-06,R_none,C1_llm_precheck,all_four_diagnostic,12,0,6,6,-0.5,0,
gpt-4o-2024-08-06,R_none,C1_llm_precheck,reference_passed_only,9,0,6,3,-0.6666666666666666,0,
gpt-4o-2024-08-06,R_random,C1_llm_precheck,all_four_diagnostic,12,0,0,12,0.0,6,-0.3333333333333333
gpt-4o-2024-08-06,R_random,C1_llm_precheck,reference_passed_only,9,0,0,9,0.0,6,-0.3333333333333333
gpt-4o-mini-2024-07-18,C1_llm_precheck,C0_no_precheck,all_four_diagnostic,12,1,0,11,0.08333333333333333,5,-0.6
gpt-4o-mini-2024-07-18,C1_llm_precheck,C0_no_precheck,reference_passed_only,9,1,0,8,0.1111111111111111,5,-0.6
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,C1_llm_precheck,all_four_diagnostic,12,0,5,7,-0.4166666666666667,1,1.0
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,C1_llm_precheck,reference_passed_only,9,0,5,4,-0.5555555555555556,1,1.0
gpt-4o-mini-2024-07-18,C3_execution_feedback,C1_llm_precheck,all_four_diagnostic,12,0,4,8,-0.3333333333333333,2,1.0
gpt-4o-mini-2024-07-18,C3_execution_feedback,C1_llm_precheck,reference_passed_only,9,0,4,5,-0.4444444444444444,2,1.0
gpt-4o-mini-2024-07-18,C4_budgeted,C1_budgeted,all_four_diagnostic,12,2,0,10,0.16666666666666666,1,2.0
gpt-4o-mini-2024-07-18,C4_budgeted,C1_budgeted,reference_passed_only,9,2,0,7,0.2222222222222222,1,2.0
gpt-4o-mini-2024-07-18,C5_full_graph,C2_symbolic_precheck,all_four_diagnostic,12,1,0,11,0.08333333333333333,1,0.0
gpt-4o-mini-2024-07-18,C5_full_graph,C2_symbolic_precheck,reference_passed_only,9,1,0,8,0.1111111111111111,1,0.0
gpt-4o-mini-2024-07-18,R_fixed,C1_llm_precheck,all_four_diagnostic,12,1,3,8,-0.16666666666666666,3,1.3333333333333333
gpt-4o-mini-2024-07-18,R_fixed,C1_llm_precheck,reference_passed_only,9,0,3,6,-0.3333333333333333,3,1.3333333333333333
gpt-4o-mini-2024-07-18,R_none,C1_llm_precheck,all_four_diagnostic,12,0,6,6,-0.5,0,
gpt-4o-mini-2024-07-18,R_none,C1_llm_precheck,reference_passed_only,9,0,6,3,-0.6666666666666666,0,
gpt-4o-mini-2024-07-18,R_random,C1_llm_precheck,all_four_diagnostic,12,3,4,5,-0.08333333333333333,2,-0.5
gpt-4o-mini-2024-07-18,R_random,C1_llm_precheck,reference_passed_only,9,0,4,5,-0.4444444444444444,2,-0.5
