model,target,baseline,repeat,kind,task_id,reference_success,reference_length,target_success,baseline_success,success_difference,both_success,action_difference,cost_difference
gpt-4o-mini-2024-07-18,C1_llm_precheck,C0_no_precheck,0,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,C1_llm_precheck,C0_no_precheck,0,state_change_task,test_task6,True,4,True,True,0,True,-1,0.00014789999999999996
gpt-4o-mini-2024-07-18,C1_llm_precheck,C0_no_precheck,0,placement_task,test_task1,False,8,False,False,0,False,-2,-0.00010665000000000002
gpt-4o-mini-2024-07-18,C1_llm_precheck,C0_no_precheck,0,placement_task,test_task65,True,9,True,False,1,False,3,0.0010612500000000001
gpt-4o-mini-2024-07-18,C1_llm_precheck,C0_no_precheck,1,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,C1_llm_precheck,C0_no_precheck,1,state_change_task,test_task6,True,4,True,True,0,True,-1,0.00013155000000000003
gpt-4o-mini-2024-07-18,C1_llm_precheck,C0_no_precheck,1,placement_task,test_task1,False,8,False,False,0,False,0,0.00011505
gpt-4o-mini-2024-07-18,C1_llm_precheck,C0_no_precheck,1,placement_task,test_task65,True,9,True,True,0,True,-1,0.0006146999999999999
gpt-4o-mini-2024-07-18,C1_llm_precheck,C0_no_precheck,2,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,C1_llm_precheck,C0_no_precheck,2,state_change_task,test_task6,True,4,True,True,0,True,-1,0.0001263000000000001
gpt-4o-mini-2024-07-18,C1_llm_precheck,C0_no_precheck,2,placement_task,test_task1,False,8,False,False,0,False,0,0.00011505
gpt-4o-mini-2024-07-18,C1_llm_precheck,C0_no_precheck,2,placement_task,test_task65,True,9,True,True,0,True,1,0.00107565
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,C1_llm_precheck,0,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,C1_llm_precheck,0,state_change_task,test_task6,True,4,False,True,-1,False,-2,-0.00044954999999999995
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,C1_llm_precheck,0,placement_task,test_task1,False,8,False,False,0,False,-2,-0.00034935
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,C1_llm_precheck,0,placement_task,test_task65,True,9,False,True,-1,False,-3,-0.0010612500000000001
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,C1_llm_precheck,1,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,C1_llm_precheck,1,state_change_task,test_task6,True,4,False,True,-1,False,-1,-0.00032925
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,C1_llm_precheck,1,placement_task,test_task1,False,8,False,False,0,False,0,-0.0001095
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,C1_llm_precheck,1,placement_task,test_task65,True,9,False,True,-1,False,-3,-0.0010637999999999997
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,C1_llm_precheck,2,state_change_task,test_task1,True,0,True,True,0,True,0,0.0
