task_type,test_task_name,selected_example_name,selected_example_id,cosine,runner_up_name,runner_up_cosine,top2_margin,exact_tie_n,near_tie_1e6_n,example_length,example_scene,example_initial_room,example_initial_states,example_actions,same_object,same_operation,same_destination,historical_selection_verified
state_change_task,Turn off all computers,Turn on all computers,example_task12,0.8592640161514282,Turn off all cellphones,0.581680417060852,0.27758359909057617,1,1,4,1,livingroom,"[{""id"": 174, ""states"": [""OFF""]}, {""id"": 433, ""states"": [""OFF""]}]","[""[WALK] <computer> (174)"", ""[SWITCHON] <computer> (174)"", ""[WALK] <computer> (433)"", ""[SWITCHON] <computer> (433)""]",True,False,True,False
state_change_task,Turn off all lightswitches,Turn off all candles,example_task81,0.5849753618240356,Turn on all tablelamps,0.5638211965560913,0.021154165267944336,1,1,6,3,kitchen,"[{""id"": 124, ""states"": [""ON""]}, {""id"": 216, ""states"": [""ON""]}, {""id"": 314, ""states"": [""ON""]}]","[""[WALK] <candle> (124)"", ""[SWITCHOFF] <candle> (124)"", ""[WALK] <candle> (216)"", ""[SWITCHOFF] <candle> (216)"", ""[WALK] <candle> (314)"", ""[SWITCHOFF] <candle> (314)""]",False,True,True,False
state_change_task,Turn off all tablelamps,Turn on all tablelamps,example_task76,0.9095948934555054,Turn off all candles,0.4964370131492615,0.4131578803062439,1,1,6,3,kitchen,"[{""id"": 256, ""states"": [""OFF""]}, {""id"": 376, ""states"": [""OFF""]}, {""id"": 377, ""states"": [""OFF""]}]","[""[WALK] <tablelamp> (256)"", ""[SWITCHON] <tablelamp> (256)"", ""[WALK] <tablelamp> (376)"", ""[SWITCHON] <tablelamp> (376)"", ""[WALK] <tablelamp> (377)"", ""[SWITCHON] <tablelamp> (377)""]",True,False,True,False
state_change_task,Turn off all tvs,Turn off all cellphones,example_task21,0.4994624853134155,Turn on all computers,0.49108827114105225,0.008374214172363281,1,1,8,1,bathroom,"[{""id"": 188, ""states"": [""ON""]}, {""id"": 202, ""states"": [""ON""]}, {""id"": 448, ""states"": [""ON""]}, {""id"": 449, ""states"": [""ON""]}]","[""[WALK] <cellphone> (188)"", ""[SWITCHOFF] <cellphone> (188)"", ""[WALK] <cellphone> (202)"", ""[SWITCHOFF] <cellphone> (202)"", ""[WALK] <cellphone> (448)"", ""[SWITCHOFF] <cellphone> (448)"", ""[WALK] <cellphone> (449)"", ""[SWITCHOFF] <cellphone> (449)""]",False,True,True,False
state_change_task,Turn on all lightswitches,Turn on all tablelamps,example_task76,0.6107883453369141,Turn on all computers,0.5445488691329956,0.06623947620391846,1,1,6,3,kitchen,"[{""id"": 256, ""states"": [""OFF""]}, {""id"": 376, ""states"": [""OFF""]}, {""id"": 377, ""states"": [""OFF""]}]","[""[WALK] <tablelamp> (256)"", ""[SWITCHON] <tablelamp> (256)"", ""[WALK] <tablelamp> (376)"", ""[SWITCHON] <tablelamp> (376)"", ""[WALK] <tablelamp> (377)"", ""[SWITCHON] <tablelamp> (377)""]",False,True,True,False
state_change_task,Turn on all tvs,Turn on all computers,example_task12,0.6019070744514465,Turn on all faucets,0.48697182536125183,0.1149352490901947,1,1,4,1,livingroom,"[{""id"": 174, ""states"": [""OFF""]}, {""id"": 433, ""states"": [""OFF""]}]","[""[WALK] <computer> (174)"", ""[SWITCHON] <computer> (174)"", ""[WALK] <computer> (433)"", ""[SWITCHON] <computer> (433)""]",False,True,True,False
placement_task,Put all alcohols in the microwave,Put all juices in the microwave,example_task25,0.7385367751121521,Put all bellpeppers in the microwave,0.6585888266563416,0.07994794845581055,1,1,9,3,kitchen,"[{""id"": 171, ""states"": [""CLOSED"", ""OFF""]}]","[""[WALK] <juice> (173)"", ""[GRAB] <juice> (173)"", ""[WALK] <microwave> (171)"", ""[OPEN] <microwave> (171)"", ""[PUTIN] <juice> (173) <microwave> (171)"", ""[WALK] <juice> (174)"", ""[GRAB] <juice> (174)"", ""[WALK] <microwave> (171)"", ""[PUTIN] <juice> (174) <microwave> (171)""]",False,True,True,False
placement_task,Put all alcohols on the kitchentable,Put all milks on the kitchentable,example_task46,0.6759195923805237,Put all apples on the kitchentable,0.6622077822685242,0.013711810111999512,1,1,8,6,bathroom,[],"[""[WALK] <milk> (245)"", ""[GRAB] <milk> (245)"", ""[WALK] <kitchentable> (186)"", ""[PUT] <milk> (245) <kitchentable> (186)"", ""[WALK] <milk> (246)"", ""[GRAB] <milk> (246)"", ""[WALK] <kitchentable> (186)"", ""[PUT] <milk> (246) <kitchentable> (186)""]",False,True,True,False
placement_task,Put all apples on the kitchencounter,Put all apples on the kitchentable,example_task15,0.8154546022415161,Put all apples in the fridge,0.743765115737915,0.07168948650360107,1,1,20,2,kitchen,[],"[""[WALK] <apple> (113)"", ""[GRAB] <apple> (113)"", ""[WALK] <kitchentable> (199)"", ""[PUT] <apple> (113) <kitchentable> (199)"", ""[WALK] <apple> (114)"", ""[GRAB] <apple> (114)"", ""[WALK] <kitchentable> (199)"", ""[PUT] <apple> (114) <kitchentable> (199)"", ""[WALK] <apple> (256)"", ""[GRAB] <apple> (256)"", ""[WALK] <kitchentable> (199)"", ""[PUT] <apple> (256) <kitchentable> (199)"", ""[WALK] <apple> (258)"", ""[GRAB] <apple> (258)"", ""[WALK] <kitchentable> (199)"", ""[PUT] <apple> (258) <kitchentable> (199)"", ""[WALK] <apple> (259)"", ""[GRAB] <apple> (259)"", ""[WALK] <kitchentable> (199)"", ""[PUT] <apple> (259) <kitchentable> (199)""]",True,True,False,False
placement_task,Put all bananas in the fridge,Put all bananas on the kitchentable,example_task2,0.7763677835464478,Put all apples in the fridge,0.6310110688209534,0.14535671472549438,1,1,12,1,bedroom,[],"[""[WALK] <bananas> (315)"", ""[GRAB] <bananas> (315)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <bananas> (315) <kitchentable> (231)"", ""[WALK] <bananas> (316)"", ""[GRAB] <bananas> (316)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <bananas> (316) <kitchentable> (231)"", ""[WALK] <bananas> (439)"", ""[GRAB] <bananas> (439)"", ""[WALK] <kitchentable> (231)"", ""[PUT] <bananas> (439) <kitchentable> (231)""]",True,False,False,False
