run_id,step,model,arm,action,vh_success,json_condition_label,candidate_was_regenerated,before_goal,after_goal,vh_message,before_graph,after_graph
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,1,gpt-4o-2024-08-06,C0_no_precheck,[WALK] <bedroom> (73),True,true,False,False,False,"{""0"": {""message"": ""Success""}}",graph_0004.json.gz,graph_0005.json.gz
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,2,gpt-4o-2024-08-06,C0_no_precheck,[GRAB] <cupcake> (195),True,false,False,False,False,"{""0"": {""message"": ""Success""}}",graph_0007.json.gz,graph_0008.json.gz
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,3,gpt-4o-2024-08-06,C0_no_precheck,[WALK] <kitchencounter> (238),True,true,False,False,False,"{""0"": {""message"": ""Success""}}",graph_0010.json.gz,graph_0011.json.gz
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,4,gpt-4o-2024-08-06,C0_no_precheck,[PUT] <cupcake> (195) <kitchencounter> (238),True,true,False,False,False,"{""0"": {""message"": ""Success""}}",graph_0013.json.gz,graph_0014.json.gz
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,5,gpt-4o-2024-08-06,C0_no_precheck,[WALK] <desk> (108),True,true,False,False,False,"{""0"": {""message"": ""Success""}}",graph_0016.json.gz,graph_0017.json.gz
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,6,gpt-4o-2024-08-06,C0_no_precheck,[GRAB] <cupcake> (196),True,true,False,False,False,"{""0"": {""message"": ""Success""}}",graph_0019.json.gz,graph_0020.json.gz
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,7,gpt-4o-2024-08-06,C0_no_precheck,[WALK] <kitchencounter> (238),True,true,False,False,False,"{""0"": {""message"": ""Success""}}",graph_0022.json.gz,graph_0023.json.gz
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,8,gpt-4o-2024-08-06,C0_no_precheck,[PUT] <cupcake> (196) <kitchencounter> (238),True,true,False,False,True,"{""0"": {""message"": ""Success""}}",graph_0025.json.gz,graph_0026.json.gz
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,1,gpt-4o-mini-2024-07-18,C0_no_precheck,[WALK] <desk> (108),True,true,False,False,False,"{""0"": {""message"": ""Success""}}",graph_0004.json.gz,graph_0005.json.gz
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,2,gpt-4o-mini-2024-07-18,C0_no_precheck,[OPEN] <desk> (108),False,true,False,False,False,"{""0"": {""message"": ""ScriptExcutor 0: PROCESS WALK: Can not select object: desk. REASON: Unknown\nEXECUTION_GENERAL: Script is impossible to execute\n\n""}}",graph_0007.json.gz,graph_0008.json.gz
placement_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06,1,gpt-4o-2024-08-06,C1_llm_precheck,[WALK] <bedroom> (73),True,true,False,False,False,"{""0"": {""message"": ""Success""}}",graph_0004.json.gz,graph_0005.json.gz
placement_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06,2,gpt-4o-2024-08-06,C1_llm_precheck,[GRAB] <cupcake> (195),True,false,False,False,False,"{""0"": {""message"": ""Success""}}",graph_0007.json.gz,graph_0008.json.gz
placement_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06,3,gpt-4o-2024-08-06,C1_llm_precheck,[WALK] <kitchencounter> (238),True,true,False,False,False,"{""0"": {""message"": ""Success""}}",graph_0010.json.gz,graph_0011.json.gz
placement_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06,4,gpt-4o-2024-08-06,C1_llm_precheck,[PUT] <cupcake> (195) <kitchencounter> (238),False,true,False,False,False,"{""0"": {""message"": ""ScriptExcutor 0: EXECUTION_GENERAL: Script is impossible to execute\n\n""}}",graph_0013.json.gz,graph_0014.json.gz
placement_task_test_task1_C1_llm_precheck_gpt-4o-mini-2024-07-18,1,gpt-4o-mini-2024-07-18,C1_llm_precheck,[WALK] <desk> (108),True,true,False,False,False,"{""0"": {""message"": ""Success""}}",graph_0004.json.gz,graph_0005.json.gz
placement_task_test_task1_C1_llm_precheck_gpt-4o-mini-2024-07-18,2,gpt-4o-mini-2024-07-18,C1_llm_precheck,[OPEN] <cupcake> (195),False,unknown,True,False,False,"{""0"": {""message"": ""ScriptExcutor 0: PROCESS WALK: Can not select object: cupcake. REASON: Unknown\nEXECUTION_GENERAL: Script is impossible to execute\n\n""}}",graph_0007.json.gz,graph_0008.json.gz
placement_task_test_task1_C2_symbolic_precheck_gpt-4o-2024-08-06,1,gpt-4o-2024-08-06,C2_symbolic_precheck,[WALK] <bedroom> (73),True,true,False,False,False,"{""0"": {""message"": ""Success""}}",graph_0004.json.gz,graph_0005.json.gz
