run_id,step,model,action,gold_json_conditions,accepted,response,correct_when_known,not_vh_executability_label
placement_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06,1,gpt-4o-2024-08-06,[WALK] <bedroom> (73),true,True,Yes,True,True
placement_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06,2,gpt-4o-2024-08-06,[GRAB] <cupcake> (195),false,True,Yes,False,True
placement_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06,3,gpt-4o-2024-08-06,[WALK] <kitchencounter> (238),true,True,Yes,True,True
placement_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06,4,gpt-4o-2024-08-06,[PUT] <cupcake> (195) <kitchencounter> (238),true,True,Yes,True,True
placement_task_test_task1_C1_llm_precheck_gpt-4o-mini-2024-07-18,1,gpt-4o-mini-2024-07-18,[WALK] <desk> (108),true,True,Yes,True,True
placement_task_test_task1_C1_llm_precheck_gpt-4o-mini-2024-07-18,2,gpt-4o-mini-2024-07-18,[OPEN] <desk> (108),true,False,No,False,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-2024-08-06,1,gpt-4o-2024-08-06,[WALK] <kitchen> (11),true,True,Yes,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-2024-08-06,2,gpt-4o-2024-08-06,[OPEN] <fridge> (103),false,False,No.,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-2024-08-06,3,gpt-4o-2024-08-06,[OPEN] <fridge> (103),true,True,Yes,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-2024-08-06,4,gpt-4o-2024-08-06,[WALK] <plum> (53),true,True,Yes,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-2024-08-06,5,gpt-4o-2024-08-06,[GRAB] <plum> (53),true,True,Yes,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-2024-08-06,6,gpt-4o-2024-08-06,[PUTIN] <plum> (53) <fridge> (103),false,True,Yes,False,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-2024-08-06,7,gpt-4o-2024-08-06,[WALK] <plum> (54),true,True,Yes,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-2024-08-06,8,gpt-4o-2024-08-06,[GRAB] <plum> (54),true,True,Yes,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-2024-08-06,9,gpt-4o-2024-08-06,[PUTIN] <plum> (54) <fridge> (103),false,True,Yes,False,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18,1,gpt-4o-mini-2024-07-18,[WALK] <kitchencounter> (92),true,False,No,False,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18,2,gpt-4o-mini-2024-07-18,[WALK] <fridge> (103),true,True,Yes,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18,3,gpt-4o-mini-2024-07-18,[PUTIN] <plum> (53) <fridge> (103),false,False,No,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18,4,gpt-4o-mini-2024-07-18,[PUTIN] <plum> (53) <fridge> (103),true,True,Yes,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18,5,gpt-4o-mini-2024-07-18,[GRAB] <plum> (54),false,False,No,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18,6,gpt-4o-mini-2024-07-18,[GRAB] <plum> (54),true,True,Yes,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18,7,gpt-4o-mini-2024-07-18,[WALK] <fridge> (103),true,True,Yes,True,True
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18,8,gpt-4o-mini-2024-07-18,[PUTIN] <plum> (54) <fridge> (103),true,True,Yes,True,True
state_change_task_test_task6_C1_llm_precheck_gpt-4o-2024-08-06,1,gpt-4o-2024-08-06,[WALK] <lightswitch> (173),true,True,Yes,True,True
state_change_task_test_task6_C1_llm_precheck_gpt-4o-2024-08-06,2,gpt-4o-2024-08-06,[SWITCHON] <lightswitch> (173),true,True,Yes,True,True
state_change_task_test_task6_C1_llm_precheck_gpt-4o-2024-08-06,3,gpt-4o-2024-08-06,[WALK] <lightswitch> (261),true,True,Yes,True,True
state_change_task_test_task6_C1_llm_precheck_gpt-4o-2024-08-06,4,gpt-4o-2024-08-06,[SWITCHON] <lightswitch> (261),false,False,No.,True,True
state_change_task_test_task6_C1_llm_precheck_gpt-4o-2024-08-06,5,gpt-4o-2024-08-06,[SWITCHON] <lightswitch> (427),true,True,Yes,True,True
state_change_task_test_task6_C1_llm_precheck_gpt-4o-mini-2024-07-18,1,gpt-4o-mini-2024-07-18,[WALK] <lightswitch> (173),true,True,Yes,True,True
state_change_task_test_task6_C1_llm_precheck_gpt-4o-mini-2024-07-18,2,gpt-4o-mini-2024-07-18,[SWITCHON] <lightswitch> (173),true,True,Yes,True,True
state_change_task_test_task6_C1_llm_precheck_gpt-4o-mini-2024-07-18,3,gpt-4o-mini-2024-07-18,[WALK] <lightswitch> (261),true,False,No,False,True
state_change_task_test_task6_C1_llm_precheck_gpt-4o-mini-2024-07-18,4,gpt-4o-mini-2024-07-18,[SWITCHON] <lightswitch> (427),true,True,Yes,True,True
