task_type,task_id,task,policy,repeat,seed,example_id,example_task,cosine,example_length,example_chars,same_object,same_operation,same_destination
state_change_task,test_task1,Turn on all lightswitches,semantic,0,,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task1,Turn on all lightswitches,random,0,12603579232618769856,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task1,Turn on all lightswitches,random,1,48282207467586490,example_task13,Turn off all faucets,0.38628941774368286,4,160,0,0,
state_change_task,test_task1,Turn on all lightswitches,random,2,15266602277009740758,example_task13,Turn off all faucets,0.38628941774368286,4,160,0,0,
state_change_task,test_task1,Turn on all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5193465948104858,6,225,0,0,
state_change_task,test_task1,Turn on all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task2,Turn on all lightswitches,semantic,0,,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task2,Turn on all lightswitches,random,0,12472847581855153586,example_task21,Turn off all cellphones,0.3894766569137573,8,315,0,0,
state_change_task,test_task2,Turn on all lightswitches,random,1,10838169516274709755,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task2,Turn on all lightswitches,random,2,16734410293525305692,example_task21,Turn off all cellphones,0.3894766569137573,8,315,0,0,
state_change_task,test_task2,Turn on all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5193465948104858,6,225,0,0,
state_change_task,test_task2,Turn on all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task3,Turn on all lightswitches,semantic,0,,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task3,Turn on all lightswitches,random,0,9066451613108510792,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task3,Turn on all lightswitches,random,1,13976297963698084842,example_task12,Turn on all computers,0.5445488691329956,4,169,0,1,
state_change_task,test_task3,Turn on all lightswitches,random,2,11385779023345962775,example_task21,Turn off all cellphones,0.3894766569137573,8,315,0,0,
state_change_task,test_task3,Turn on all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5193465948104858,6,225,0,0,
state_change_task,test_task3,Turn on all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task4,Turn on all lightswitches,semantic,0,,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task4,Turn on all lightswitches,random,0,11008434125761739079,example_task4,Turn on all faucets,0.4804110527038574,4,157,0,1,
state_change_task,test_task4,Turn on all lightswitches,random,1,17826475530469128715,example_task12,Turn on all computers,0.5445488691329956,4,169,0,1,
state_change_task,test_task4,Turn on all lightswitches,random,2,13776804878327751770,example_task13,Turn off all faucets,0.38628941774368286,4,160,0,0,
state_change_task,test_task4,Turn on all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5193465948104858,6,225,0,0,
state_change_task,test_task4,Turn on all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task5,Turn on all lightswitches,semantic,0,,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task5,Turn on all lightswitches,random,0,16150330777575809293,example_task12,Turn on all computers,0.5445488691329956,4,169,0,1,
state_change_task,test_task5,Turn on all lightswitches,random,1,4834885665260187842,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task5,Turn on all lightswitches,random,2,4397224868287953652,example_task13,Turn off all faucets,0.38628941774368286,4,160,0,0,
state_change_task,test_task5,Turn on all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5193465948104858,6,225,0,0,
state_change_task,test_task5,Turn on all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task6,Turn on all lightswitches,semantic,0,,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task6,Turn on all lightswitches,random,0,2661350017798456936,example_task12,Turn on all computers,0.5445488691329956,4,169,0,1,
state_change_task,test_task6,Turn on all lightswitches,random,1,11494910444596219886,example_task13,Turn off all faucets,0.38628941774368286,4,160,0,0,
state_change_task,test_task6,Turn on all lightswitches,random,2,4224530029628053548,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task6,Turn on all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5193465948104858,6,225,0,0,
state_change_task,test_task6,Turn on all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task7,Turn on all lightswitches,semantic,0,,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task7,Turn on all lightswitches,random,0,18205950126509888895,example_task4,Turn on all faucets,0.4804110527038574,4,157,0,1,
state_change_task,test_task7,Turn on all lightswitches,random,1,15270547357154718741,example_task13,Turn off all faucets,0.38628941774368286,4,160,0,0,
state_change_task,test_task7,Turn on all lightswitches,random,2,10303090309665443194,example_task81,Turn off all candles,0.5193465948104858,6,225,0,0,
state_change_task,test_task7,Turn on all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5193465948104858,6,225,0,0,
state_change_task,test_task7,Turn on all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task8,Turn on all lightswitches,semantic,0,,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task8,Turn on all lightswitches,random,0,3098656910001634865,example_task13,Turn off all faucets,0.38628941774368286,4,160,0,0,
state_change_task,test_task8,Turn on all lightswitches,random,1,16675554032979095774,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task8,Turn on all lightswitches,random,2,4378097588750384864,example_task13,Turn off all faucets,0.38628941774368286,4,160,0,0,
state_change_task,test_task8,Turn on all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5193465948104858,6,225,0,0,
state_change_task,test_task8,Turn on all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task9,Turn on all lightswitches,semantic,0,,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task9,Turn on all lightswitches,random,0,576915748587658874,example_task81,Turn off all candles,0.5193465948104858,6,225,0,0,
state_change_task,test_task9,Turn on all lightswitches,random,1,7082793785590391926,example_task12,Turn on all computers,0.5445488691329956,4,169,0,1,
state_change_task,test_task9,Turn on all lightswitches,random,2,5687077582103702450,example_task81,Turn off all candles,0.5193465948104858,6,225,0,0,
state_change_task,test_task9,Turn on all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5193465948104858,6,225,0,0,
state_change_task,test_task9,Turn on all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task10,Turn on all lightswitches,semantic,0,,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task10,Turn on all lightswitches,random,0,16295054888061401417,example_task13,Turn off all faucets,0.38628941774368286,4,160,0,0,
state_change_task,test_task10,Turn on all lightswitches,random,1,11428094665524601420,example_task21,Turn off all cellphones,0.3894766569137573,8,315,0,0,
state_change_task,test_task10,Turn on all lightswitches,random,2,2889228183041099148,example_task4,Turn on all faucets,0.4804110527038574,4,157,0,1,
state_change_task,test_task10,Turn on all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5193465948104858,6,225,0,0,
state_change_task,test_task10,Turn on all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task11,Turn on all lightswitches,semantic,0,,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task11,Turn on all lightswitches,random,0,10329452660395785099,example_task13,Turn off all faucets,0.38628941774368286,4,160,0,0,
state_change_task,test_task11,Turn on all lightswitches,random,1,3569535142615240302,example_task4,Turn on all faucets,0.4804110527038574,4,157,0,1,
state_change_task,test_task11,Turn on all lightswitches,random,2,4712111733239560398,example_task12,Turn on all computers,0.5445488691329956,4,169,0,1,
state_change_task,test_task11,Turn on all lightswitches,fixed,0,,example_task81,Turn off all candles,0.5193465948104858,6,225,0,0,
state_change_task,test_task11,Turn on all lightswitches,none,0,,,,,0,0,,,
state_change_task,test_task12,Turn on all lightswitches,semantic,0,,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task12,Turn on all lightswitches,random,0,16900419380777604179,example_task76,Turn on all tablelamps,0.6107883453369141,6,242,0,1,
state_change_task,test_task12,Turn on all lightswitches,random,1,13307556385028802368,example_task81,Turn off all candles,0.5193465948104858,6,225,0,0,
