run_id,baseline_run_id,symbolic_state_equal_to_C0,full_graph_equal_to_C0,max_node_position_distance_to_C0,position_rotation_symbolic_alignment_to_C0,max_quaternion_distance_to_C0,symbolic_state_equal_to_reference,agent_initial_position
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,True,True,0.0,True,0.0,True,"[-6.28747368, 1.247, 0.139609814]"
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,True,True,0.0,True,0.0,True,"[-6.28747368, 1.247, 0.139609814]"
placement_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06,placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,True,True,0.0,True,0.0,True,"[-6.28747368, 1.247, 0.139609814]"
placement_task_test_task1_C1_llm_precheck_gpt-4o-mini-2024-07-18,placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,True,True,0.0,True,0.0,True,"[-6.28747368, 1.247, 0.139609814]"
placement_task_test_task1_C2_symbolic_precheck_gpt-4o-2024-08-06,placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,True,True,0.0,True,0.0,True,"[-6.28747368, 1.247, 0.139609814]"
placement_task_test_task1_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,True,True,0.0,True,0.0,True,"[-6.28747368, 1.247, 0.139609814]"
placement_task_test_task65_C0_no_precheck_gpt-4o-2024-08-06,placement_task_test_task65_C0_no_precheck_gpt-4o-2024-08-06,True,True,0.0,True,0.0,True,"[9.582918, 1.25, -4.21981239]"
placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18,placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18,True,True,0.0,True,0.0,True,"[9.582918, 1.25, -4.21981239]"
placement_task_test_task65_C1_llm_precheck_gpt-4o-2024-08-06,placement_task_test_task65_C0_no_precheck_gpt-4o-2024-08-06,True,True,0.0,True,0.0,True,"[9.582918, 1.25, -4.21981239]"
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18,placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18,True,True,0.0,True,0.0,True,"[9.582918, 1.25, -4.21981239]"
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-2024-08-06,placement_task_test_task65_C0_no_precheck_gpt-4o-2024-08-06,True,True,0.0,True,0.0,True,"[9.582918, 1.25, -4.21981239]"
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18,True,True,0.0,True,0.0,True,"[9.582918, 1.25, -4.21981239]"
state_change_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,state_change_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,True,True,0.0,True,0.0,True,"[2.90539312, 1.25, -5.62809753]"
state_change_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,state_change_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,True,True,0.0,True,0.0,True,"[2.90539312, 1.25, -5.62809753]"
state_change_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06,state_change_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,True,True,0.0,True,0.0,True,"[2.90539312, 1.25, -5.62809753]"
state_change_task_test_task1_C1_llm_precheck_gpt-4o-mini-2024-07-18,state_change_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,True,True,0.0,True,0.0,True,"[2.90539312, 1.25, -5.62809753]"
state_change_task_test_task1_C2_symbolic_precheck_gpt-4o-2024-08-06,state_change_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,True,True,0.0,True,0.0,True,"[2.90539312, 1.25, -5.62809753]"
state_change_task_test_task1_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,state_change_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,True,True,0.0,True,0.0,True,"[2.90539312, 1.25, -5.62809753]"
state_change_task_test_task6_C0_no_precheck_gpt-4o-2024-08-06,state_change_task_test_task6_C0_no_precheck_gpt-4o-2024-08-06,True,True,0.0,True,0.0,True,"[-2.41545, 1.25, -7.44353151]"
state_change_task_test_task6_C0_no_precheck_gpt-4o-mini-2024-07-18,state_change_task_test_task6_C0_no_precheck_gpt-4o-mini-2024-07-18,True,True,0.0,True,0.0,True,"[-2.41545, 1.25, -7.44353151]"
state_change_task_test_task6_C1_llm_precheck_gpt-4o-2024-08-06,state_change_task_test_task6_C0_no_precheck_gpt-4o-2024-08-06,True,True,0.0,True,0.0,True,"[-2.41545, 1.25, -7.44353151]"
state_change_task_test_task6_C1_llm_precheck_gpt-4o-mini-2024-07-18,state_change_task_test_task6_C0_no_precheck_gpt-4o-mini-2024-07-18,True,False,0.0,True,0.0,True,"[-2.41545, 1.25, -7.44353151]"
state_change_task_test_task6_C2_symbolic_precheck_gpt-4o-2024-08-06,state_change_task_test_task6_C0_no_precheck_gpt-4o-2024-08-06,True,True,0.0,True,0.0,True,"[-2.41545, 1.25, -7.44353151]"
state_change_task_test_task6_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,state_change_task_test_task6_C0_no_precheck_gpt-4o-mini-2024-07-18,True,False,0.0,True,0.0,True,"[-2.41545, 1.25, -7.44353151]"
