run_id,kind,task_id,arm,model,reference_outcome,outcome,score_original_rule,final_goal_satisfied,reference_length,executed_successful_actions,execution_attempts,failed_execution_attempts,api_successful_requests,api_failed_requests,api_requests_in_prior_incomplete_attempts,input_tokens,output_tokens,estimated_usd_uncached,elapsed_seconds
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,placement_task,test_task1,C0_no_precheck,gpt-4o-2024-08-06,Reference Failure,Success,1.0,True,8,8,8,0,17,0,0,5942,116,0.016015,26.678797571999894
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,placement_task,test_task1,C0_no_precheck,gpt-4o-mini-2024-07-18,Reference Failure,Execution Failure,0.0,False,8,1,2,1,4,0,0,1331,21,0.00021224999999999998,8.041246755004977
placement_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06,placement_task,test_task1,C1_llm_precheck,gpt-4o-2024-08-06,Reference Failure,Execution Failure,0.0,False,8,3,4,1,12,0,0,3441,62,0.0092225,16.25948820100166
placement_task_test_task1_C1_llm_precheck_gpt-4o-mini-2024-07-18,placement_task,test_task1,C1_llm_precheck,gpt-4o-mini-2024-07-18,Reference Failure,Execution Failure,0.0,False,8,1,2,1,8,0,0,2523,42,0.00040364999999999997,10.835311399998318
placement_task_test_task1_C2_symbolic_precheck_gpt-4o-2024-08-06,placement_task,test_task1,C2_symbolic_precheck,gpt-4o-2024-08-06,Reference Failure,Execution Failure,0.0,False,8,4,5,1,11,0,0,4036,80,0.01089,16.73577440399822
placement_task_test_task1_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,placement_task,test_task1,C2_symbolic_precheck,gpt-4o-mini-2024-07-18,Reference Failure,Execution Failure,0.0,False,8,5,6,1,13,0,0,4673,90,0.00075495,21.353626147996692
placement_task_test_task1_reference_reference,placement_task,test_task1,reference,reference,Reference Failure,Reference Failure,0,False,8,3,4,1,0,0,0,0,0,0,5.6797123110009125
placement_task_test_task65_C0_no_precheck_gpt-4o-2024-08-06,placement_task,test_task65,C0_no_precheck,gpt-4o-2024-08-06,Reference Success,Execution Failure,0.0,False,9,0,1,1,2,0,0,671,12,0.0017975,3.5090689070057124
placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18,placement_task,test_task65,C0_no_precheck,gpt-4o-mini-2024-07-18,Reference Success,Success,1.0,True,9,8,8,0,17,0,0,5865,113,0.0009475499999999999,25.46316025499982
placement_task_test_task65_C1_llm_precheck_gpt-4o-2024-08-06,placement_task,test_task65,C1_llm_precheck,gpt-4o-2024-08-06,Reference Success,Execution Failure,0.0,False,9,0,1,1,3,0,0,854,13,0.002265,4.380813789997774
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18,placement_task,test_task65,C1_llm_precheck,gpt-4o-mini-2024-07-18,Reference Success,Success,1.0,True,9,7,7,0,28,0,0,9214,346,0.0015896999999999999,33.80445904199587
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-2024-08-06,placement_task,test_task65,C2_symbolic_precheck,gpt-4o-2024-08-06,Reference Success,Success,1.0,True,9,11,11,0,26,0,0,10419,192,0.0279675,35.52223790399876
