model,arm,regenerated_executions,extracted_condition_true,extracted_condition_unknown,full_graph_condition_true,vh_success
gpt-4o-2024-08-06,C1_budgeted,54,47,0,47,53
gpt-4o-2024-08-06,C1_llm_precheck,5,5,0,5,5
gpt-4o-2024-08-06,C2_symbolic_precheck,17,17,0,17,17
gpt-4o-2024-08-06,C3_execution_feedback,6,6,0,6,3
gpt-4o-2024-08-06,C4_budgeted,49,39,0,39,47
gpt-4o-2024-08-06,C5_full_graph,15,15,0,15,15
gpt-4o-2024-08-06,R_fixed,12,10,1,10,12
gpt-4o-2024-08-06,R_random,4,4,0,4,4
gpt-4o-mini-2024-07-18,C1_budgeted,33,29,0,29,27
gpt-4o-mini-2024-07-18,C1_llm_precheck,13,10,0,10,13
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,5,4,0,4,5
gpt-4o-mini-2024-07-18,C3_execution_feedback,4,3,0,3,2
gpt-4o-mini-2024-07-18,C4_budgeted,38,33,0,33,35
gpt-4o-mini-2024-07-18,C5_full_graph,3,2,0,2,3
gpt-4o-mini-2024-07-18,R_fixed,13,9,0,9,13
gpt-4o-mini-2024-07-18,R_none,4,3,0,3,0
gpt-4o-mini-2024-07-18,R_random,8,5,0,5,7
