id,kind,origin,gold
pc_WALK_valid,precondition,synthetic,true
pc_WALK_violate_1,precondition,synthetic,false
pc_GRAB_valid,precondition,synthetic,true
pc_GRAB_violate_1,precondition,synthetic,false
pc_GRAB_violate_2,precondition,synthetic,false
pc_SWITCHON_valid,precondition,synthetic,true
pc_SWITCHON_violate_1,precondition,synthetic,false
pc_SWITCHON_violate_2,precondition,synthetic,false
pc_SWITCHON_unknown,precondition,synthetic,unknown
pc_SWITCHOFF_valid,precondition,synthetic,true
pc_SWITCHOFF_violate_1,precondition,synthetic,false
pc_SWITCHOFF_violate_2,precondition,synthetic,false
pc_SWITCHOFF_unknown,precondition,synthetic,unknown
pc_OPEN_valid,precondition,synthetic,true
pc_OPEN_violate_1,precondition,synthetic,false
pc_OPEN_violate_2,precondition,synthetic,false
pc_OPEN_unknown,precondition,synthetic,unknown
pc_CLOSE_valid,precondition,synthetic,true
pc_CLOSE_violate_1,precondition,synthetic,false
pc_CLOSE_violate_2,precondition,synthetic,false
pc_CLOSE_unknown,precondition,synthetic,unknown
pc_PUT_valid,precondition,synthetic,true
pc_PUT_violate_1,precondition,synthetic,false
pc_PUT_violate_2,precondition,synthetic,false
pc_PUTIN_valid,precondition,synthetic,true
pc_PUTIN_violate_1,precondition,synthetic,false
pc_PUTIN_violate_2,precondition,synthetic,false
pc_PUTIN_violate_3,precondition,synthetic,false
end_state_test_task1,termination,dataset_state_only,End
end_state_test_task2,termination,dataset_state_only,Continue
end_state_test_task17,termination,dataset_state_only,End
end_state_test_task18,termination,dataset_state_only,Continue
end_state_test_task21,termination,dataset_state_only,Continue
end_state_test_task36,termination,dataset_state_only,End
end_state_test_task37,termination,dataset_state_only,Continue
end_state_test_task40,termination,dataset_state_only,End
end_state_test_task41,termination,dataset_state_only,Continue
end_state_test_task44,termination,dataset_state_only,End
end_state_test_task45,termination,dataset_state_only,Continue
end_state_test_task48,termination,dataset_state_only,End
end_placement_0,termination,synthetic,End
end_placement_1,termination,synthetic,Continue
end_placement_2,termination,synthetic,Continue
end_placement_3,termination,synthetic,End
