task_type,method,prompt,model_claimed,precheck,result_path,sha256,test_path,n,correspondence_basis,historical_executable_commit,available_related_notebook
state_change_task,baseline/gpt-4o,baseline,gpt-4o,,result/state_change_task/result_baseline.json,ab35cc796aa0c83b2ad14fe203b235ab7da518d9bdb26ee183e14970ecb4ece8,dataset/state_change_task/test.json,312,filename + README + matching table metrics and task IDs,,
state_change_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,result/state_change_task/result_single-prompt_gpt-4o-mini.json,6cb597715df6580e557ae607015c23997668b7a0b0d966a046b40a56f2ffd8ee,dataset/state_change_task/test.json,312,filename + README + matching table metrics and task IDs,,single-prompt.ipynb
state_change_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,result/state_change_task/result_single-prompt_gpt-4o.json,ca8c38f505fead98c6dcf568c9dc74860a46e1be0f6f518088659a97723ad25b,dataset/state_change_task/test.json,312,filename + README + matching table metrics and task IDs,,single-prompt.ipynb
state_change_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,result/state_change_task/result_multi-prompts_gpt-4o-mini.json,e51922cbe59203b7548bdbc00db79db686a54478ab25ac0849fe12bd87b127ba,dataset/state_change_task/test.json,312,filename + README + matching table metrics and task IDs,,multi-prompts.ipynb
state_change_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,result/state_change_task/result_multi-prompts_gpt-4o.json,9e0d2977d38b7e6633a967abea6e37dd226131ddb371b19616f23e50f0590c2a,dataset/state_change_task/test.json,312,filename + README + matching table metrics and task IDs,,multi-prompts.ipynb
state_change_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,result/state_change_task/ablation/ablation_single-prompt_gpt-4o-mini.json,ace169396f4a70b6d6ff3731dbb2e432fc3f3c2dd3db534391b57b63f0ac754a,dataset/state_change_task/test.json,312,filename + README + matching table metrics and task IDs,,single-prompt.ipynb
state_change_task,single-prompt/gpt-4o/no-precheck,single-prompt,gpt-4o,False,result/state_change_task/ablation/ablation_single-prompt_gpt-4o.json,b2ce5cfc5a8ff720f0f496ad5604633ce9350e630b0a81c3ac36b7267636dc43,dataset/state_change_task/test.json,312,filename + README + matching table metrics and task IDs,,single-prompt.ipynb
state_change_task,multi-prompts/gpt-4o-mini/no-precheck,multi-prompts,gpt-4o-mini,False,result/state_change_task/ablation/ablation_multi-prompts_gpt-4o-mini.json,4bbc75ed59ccf7eaa09f4eff6304ef76b059526ba1404e89a50f12168eabac5d,dataset/state_change_task/test.json,312,filename + README + matching table metrics and task IDs,,multi-prompts.ipynb
state_change_task,multi-prompts/gpt-4o/no-precheck,multi-prompts,gpt-4o,False,result/state_change_task/ablation/ablation_multi-prompts_gpt-4o.json,61f760e8cec3df676ab305f46e21f41207dfbcc29bfb8b28237fba171e88302f,dataset/state_change_task/test.json,312,filename + README + matching table metrics and task IDs,,multi-prompts.ipynb
placement_task,baseline/gpt-4o,baseline,gpt-4o,,result/placement_task/result_baseline.json,c6b7213fe5cd4407d8add0277d693eeac59de60d2909877ad349d9eecd38605e,dataset/placement_task/test.json,103,filename + README + matching table metrics and task IDs,,
placement_task,single-prompt/gpt-4o-mini/precheck,single-prompt,gpt-4o-mini,True,result/placement_task/result_single-prompt_gpt-4o-mini.json,2483fb3b727345aaadc6fd6b8dfc488f969f02db175fa4d57af5c25258e2acff,dataset/placement_task/test.json,103,filename + README + matching table metrics and task IDs,,single-prompt.ipynb
placement_task,single-prompt/gpt-4o/precheck,single-prompt,gpt-4o,True,result/placement_task/result_single-prompt_gpt-4o.json,374b84844eb0903668c8a50e795b70ff3b540af0fb1810d7cc36cfbb6589246a,dataset/placement_task/test.json,103,filename + README + matching table metrics and task IDs,,single-prompt.ipynb
placement_task,multi-prompts/gpt-4o-mini/precheck,multi-prompts,gpt-4o-mini,True,result/placement_task/result_multi-prompts_gpt-4o-mini.json,fe5596f87e35ebf936aa0742ca2069b41ef0a496227d825e11d407aa69a6f478,dataset/placement_task/test.json,103,filename + README + matching table metrics and task IDs,,multi-prompts.ipynb
placement_task,multi-prompts/gpt-4o/precheck,multi-prompts,gpt-4o,True,result/placement_task/result_multi-prompts_gpt-4o.json,6ee415e1aa7ce5c8f9b02a19f216365d3f665230f6749a49e0996137206b1b3a,dataset/placement_task/test.json,103,filename + README + matching table metrics and task IDs,,multi-prompts.ipynb
placement_task,single-prompt/gpt-4o-mini/no-precheck,single-prompt,gpt-4o-mini,False,result/placement_task/ablation/result_single-prompt_gpt-4o-mini.json,2df23d02a3314bb54a951b2ba7ac27ce16bbb4efb356322883abd5ab6ddc3f29,dataset/placement_task/test.json,103,filename + README + matching table metrics and task IDs,,single-prompt.ipynb
placement_task,single-prompt/gpt-4o/no-precheck,single-prompt,gpt-4o,False,result/placement_task/ablation/result_single-prompt_gpt-4o.json,aa45a4e4c80b851358bf93a25d06600adc899b6b130a7762be3100d5d4fbf649,dataset/placement_task/test.json,103,filename + README + matching table metrics and task IDs,,single-prompt.ipynb
placement_task,multi-prompts/gpt-4o-mini/no-precheck,multi-prompts,gpt-4o-mini,False,result/placement_task/ablation/result_multi-prompts_gpt-4o-mini.json,a7132363bca5bca667f6b11357e85862341cacdc6a8048fe0185d9450ed348e2,dataset/placement_task/test.json,103,filename + README + matching table metrics and task IDs,,multi-prompts.ipynb
placement_task,multi-prompts/gpt-4o/no-precheck,multi-prompts,gpt-4o,False,result/placement_task/ablation/result_multi-prompts_gpt-4o.json,64a6e1d9c6df30450b08dbd89e85f2ff5cf9dac87efc782df0edf223f3dcd18a,dataset/placement_task/test.json,103,filename + README + matching table metrics and task IDs,,multi-prompts.ipynb
