model,arm,subset,repeat,n,successes,SR,final_goal_satisfied,mean_saved_actions_all,mean_saved_actions_success_only,success_nonzero_length_ratio_n,mean_success_nonzero_length_ratio,failed_executions,api_calls,input_tokens,output_tokens,estimated_usd,mean_seconds
gpt-4o-2024-08-06,C0_no_precheck,all_four_diagnostic,0,4,3,0.75,3,4.25,4.666666666666667,2,1.1944444444444444,1,39,12500,245,0.0337,15.182705527000508
gpt-4o-2024-08-06,C0_no_precheck,all_four_diagnostic,1,4,3,0.75,3,4.0,4.333333333333333,2,1.0694444444444444,1,37,11859,232,0.031967499999999996,16.14813286699973
gpt-4o-2024-08-06,C0_no_precheck,all_four_diagnostic,2,4,3,0.75,3,3.75,4.0,2,0.9444444444444444,1,35,11244,222,0.03033,12.673458409999512
gpt-4o-2024-08-06,C0_no_precheck,reference_passed_only,0,3,3,1.0,3,4.666666666666667,4.666666666666667,2,1.1944444444444444,0,31,9784,187,0.02633,15.43480762966889
gpt-4o-2024-08-06,C0_no_precheck,reference_passed_only,1,3,3,1.0,3,4.333333333333333,4.333333333333333,2,1.0694444444444444,0,29,9143,174,0.024597499999999998,17.09636442133342
gpt-4o-2024-08-06,C0_no_precheck,reference_passed_only,2,3,3,1.0,3,4.0,4.0,2,0.9444444444444444,0,27,8528,164,0.022959999999999998,12.891764566331403
gpt-4o-2024-08-06,C1_budgeted,all_four_diagnostic,0,4,4,1.0,4,5.0,5.0,3,0.9629629629629629,0,104,36029,1857,0.1086425,30.114551169750484
gpt-4o-2024-08-06,C1_budgeted,all_four_diagnostic,1,4,3,0.75,3,3.5,3.6666666666666665,2,0.8888888888888888,1,78,26054,1400,0.079135,22.28302287349834
gpt-4o-2024-08-06,C1_budgeted,all_four_diagnostic,2,4,4,1.0,4,4.75,4.75,3,0.9259259259259259,0,99,34017,1830,0.1033425,27.033196121499714
gpt-4o-2024-08-06,C1_budgeted,reference_passed_only,0,3,3,1.0,3,4.0,4.0,2,0.9444444444444444,0,63,21113,1054,0.0633225,23.680866097667604
gpt-4o-2024-08-06,C1_budgeted,reference_passed_only,1,3,3,1.0,3,3.6666666666666665,3.6666666666666665,2,0.8888888888888888,0,58,19112,1038,0.058159999999999996,22.282664673999534
gpt-4o-2024-08-06,C1_budgeted,reference_passed_only,2,3,3,1.0,3,3.6666666666666665,3.6666666666666665,2,0.8888888888888888,0,58,19095,1021,0.0579475,21.580070789665722
gpt-4o-2024-08-06,C1_llm_precheck,all_four_diagnostic,0,4,3,0.75,3,4.25,4.666666666666667,2,1.125,1,61,17543,309,0.0469475,18.936609323502125
gpt-4o-2024-08-06,C1_llm_precheck,all_four_diagnostic,1,4,3,0.75,3,4.25,4.666666666666667,2,1.125,1,59,16727,284,0.044657499999999996,18.944345388497823
gpt-4o-2024-08-06,C1_llm_precheck,all_four_diagnostic,2,4,3,0.75,3,4.25,4.666666666666667,2,1.125,1,61,17530,307,0.046895,17.975789733000056
gpt-4o-2024-08-06,C1_llm_precheck,reference_passed_only,0,3,3,1.0,3,4.666666666666667,4.666666666666667,2,1.125,0,49,14102,247,0.037725,19.988543177001702
