run_id,kind,task_id,arm,model,reference_outcome,outcome,score_original_rule,final_goal_satisfied,reference_length,executed_successful_actions,execution_attempts,failed_execution_attempts,api_successful_requests,api_failed_requests,api_requests_in_prior_incomplete_attempts,input_tokens,output_tokens,estimated_usd_uncached,elapsed_seconds
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,placement_task,test_task1,C0_no_precheck,gpt-4o-2024-08-06,Reference Failure,Execution Failure,0.0,False,8,3,4,1,8,0,0,2716,58,0.00737,13.804710655000235
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,placement_task,test_task1,C0_no_precheck,gpt-4o-mini-2024-07-18,Reference Failure,Execution Failure,0.0,False,8,1,2,1,4,0,0,1290,22,0.00020669999999999998,8.204784973000642
placement_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06,placement_task,test_task1,C1_llm_precheck,gpt-4o-2024-08-06,Reference Failure,Execution Failure,0.0,False,8,3,4,1,12,0,0,3441,62,0.0092225,16.507864826002333
placement_task_test_task1_C1_llm_precheck_gpt-4o-mini-2024-07-18,placement_task,test_task1,C1_llm_precheck,gpt-4o-mini-2024-07-18,Reference Failure,Execution Failure,0.0,False,8,1,2,1,8,0,0,2523,42,0.00040364999999999997,11.090933954998036
placement_task_test_task1_C2_symbolic_precheck_gpt-4o-2024-08-06,placement_task,test_task1,C2_symbolic_precheck,gpt-4o-2024-08-06,Reference Failure,Execution Failure,0.0,False,8,4,5,1,11,0,0,4036,80,0.01089,17.08263089299726
placement_task_test_task1_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,placement_task,test_task1,C2_symbolic_precheck,gpt-4o-mini-2024-07-18,Reference Failure,Execution Failure,0.0,False,8,5,6,1,13,0,0,4673,90,0.00075495,20.958899892000773
placement_task_test_task1_reference_reference,placement_task,test_task1,reference,reference,Reference Failure,Reference Failure,0,False,8,3,4,1,0,0,0,0,0,0,5.7191394200053765
placement_task_test_task65_C0_no_precheck_gpt-4o-2024-08-06,placement_task,test_task65,C0_no_precheck,gpt-4o-2024-08-06,Reference Success,Success,1.0,True,9,8,8,0,17,0,0,5918,112,0.015915,24.086738946003607
placement_task_test_task65_C0_no_precheck_gpt-4o-mini-2024-07-18,placement_task,test_task65,C0_no_precheck,gpt-4o-mini-2024-07-18,Reference Success,Erroneous Terminate,0.0,False,9,7,7,0,15,0,0,5185,94,0.00083415,23.37739590000274
placement_task_test_task65_C1_llm_precheck_gpt-4o-2024-08-06,placement_task,test_task65,C1_llm_precheck,gpt-4o-2024-08-06,Reference Success,Success,1.0,True,9,9,9,0,30,0,0,9283,153,0.0247375,36.092615794004814
placement_task_test_task65_C1_llm_precheck_gpt-4o-mini-2024-07-18,placement_task,test_task65,C1_llm_precheck,gpt-4o-mini-2024-07-18,Reference Success,Success,1.0,True,9,8,8,0,31,0,0,10058,201,0.0016293,38.74073897400376
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-2024-08-06,placement_task,test_task65,C2_symbolic_precheck,gpt-4o-2024-08-06,Reference Success,Success,1.0,True,9,11,11,0,26,0,0,10419,256,0.0286075,32.10779591900064
placement_task_test_task65_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,placement_task,test_task65,C2_symbolic_precheck,gpt-4o-mini-2024-07-18,Reference Success,Execution Failure,0.0,False,9,5,6,1,13,0,0,4963,91,0.0007990499999999999,18.568982063996373
placement_task_test_task65_reference_reference,placement_task,test_task65,reference,reference,Reference Success,Reference Success,1,True,9,9,9,0,0,0,0,0,0,0,10.305374297000526
state_change_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06,state_change_task,test_task1,C0_no_precheck,gpt-4o-2024-08-06,Reference Success,Success,1.0,True,0,0,0,0,1,0,0,144,1,0.00037,2.658779067998694
state_change_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18,state_change_task,test_task1,C0_no_precheck,gpt-4o-mini-2024-07-18,Reference Success,Success,1.0,True,0,0,0,0,1,0,0,144,1,2.22e-05,2.8292437130003236
state_change_task_test_task1_C1_llm_precheck_gpt-4o-2024-08-06,state_change_task,test_task1,C1_llm_precheck,gpt-4o-2024-08-06,Reference Success,Success,1.0,True,0,0,0,0,1,0,0,144,1,0.00037,2.891281912001432
state_change_task_test_task1_C1_llm_precheck_gpt-4o-mini-2024-07-18,state_change_task,test_task1,C1_llm_precheck,gpt-4o-mini-2024-07-18,Reference Success,Success,1.0,True,0,0,0,0,1,0,0,144,1,2.22e-05,2.708089472995198
state_change_task_test_task1_C2_symbolic_precheck_gpt-4o-2024-08-06,state_change_task,test_task1,C2_symbolic_precheck,gpt-4o-2024-08-06,Reference Success,Success,1.0,True,0,0,0,0,1,0,0,144,1,0.00037,3.0671051099998294
state_change_task_test_task1_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,state_change_task,test_task1,C2_symbolic_precheck,gpt-4o-mini-2024-07-18,Reference Success,Success,1.0,True,0,0,0,0,1,0,0,144,1,2.22e-05,2.8567845830039005
state_change_task_test_task1_reference_reference,state_change_task,test_task1,reference,reference,Reference Success,Reference Success,1,True,0,0,0,0,0,0,0,0,0,0,1.850374544999795
state_change_task_test_task6_C0_no_precheck_gpt-4o-2024-08-06,state_change_task,test_task6,C0_no_precheck,gpt-4o-2024-08-06,Reference Success,Success,1.0,True,4,6,6,0,13,0,0,3732,76,0.01009,20.066674520996457
state_change_task_test_task6_C0_no_precheck_gpt-4o-mini-2024-07-18,state_change_task,test_task6,C0_no_precheck,gpt-4o-mini-2024-07-18,Reference Success,Success,1.0,True,4,6,6,0,15,0,2,4266,88,0.0006927,25.050612744002137
state_change_task_test_task6_C1_llm_precheck_gpt-4o-2024-08-06,state_change_task,test_task6,C1_llm_precheck,gpt-4o-2024-08-06,Reference Success,Success,1.0,True,4,5,5,0,18,0,0,4663,91,0.0125675,24.34840971599624
state_change_task_test_task6_C1_llm_precheck_gpt-4o-mini-2024-07-18,state_change_task,test_task6,C1_llm_precheck,gpt-4o-mini-2024-07-18,Reference Success,Success,1.0,True,4,4,4,0,15,0,0,3856,91,0.000633,21.685867986998346
state_change_task_test_task6_C2_symbolic_precheck_gpt-4o-2024-08-06,state_change_task,test_task6,C2_symbolic_precheck,gpt-4o-2024-08-06,Reference Success,Success,1.0,True,4,5,5,0,12,0,0,3675,75,0.0099375,17.642821407003794
state_change_task_test_task6_C2_symbolic_precheck_gpt-4o-mini-2024-07-18,state_change_task,test_task6,C2_symbolic_precheck,gpt-4o-mini-2024-07-18,Reference Success,Erroneous Terminate,0.0,False,4,3,3,0,7,0,0,1873,38,0.00030375,11.90939260799496
state_change_task_test_task6_reference_reference,state_change_task,test_task6,reference,reference,Reference Success,Reference Success,1,True,4,4,4,0,0,0,0,0,0,0,7.3060833790004835
