run_id,kind,task_id,model,arm,repeat,step,execution_index,action,vh_success,was_regenerated,extracted_label,full_graph_label,symbolic_state_changed,full_graph_changed,before_graph,after_graph,goal_after,simulator_message
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,0,1,1,[WALK] <bedroom> (73),True,False,true,true,True,True,graph_0004.json.gz,graph_0005.json.gz,False,"{""0"": {""message"": ""Success""}}"
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,0,2,2,[GRAB] <cupcake> (195),True,False,false,false,True,True,graph_0007.json.gz,graph_0008.json.gz,False,"{""0"": {""message"": ""Success""}}"
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,0,3,3,[WALK] <kitchencounter> (238),True,False,true,true,True,True,graph_0010.json.gz,graph_0011.json.gz,False,"{""0"": {""message"": ""Success""}}"
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,0,4,4,[PUT] <cupcake> (195) <kitchencounter> (238),False,False,true,true,False,True,graph_0013.json.gz,graph_0014.json.gz,False,"{""0"": {""message"": ""ScriptExcutor 0: EXECUTION_GENERAL: Script is impossible to execute\n\n""}}"
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,1,1,1,[WALK] <bedroom> (73),True,False,true,true,True,True,graph_0004.json.gz,graph_0005.json.gz,False,"{""0"": {""message"": ""Success""}}"
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,1,2,2,[GRAB] <cupcake> (195),True,False,false,false,True,True,graph_0007.json.gz,graph_0008.json.gz,False,"{""0"": {""message"": ""Success""}}"
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,1,3,3,[WALK] <kitchencounter> (238),True,False,true,true,True,True,graph_0010.json.gz,graph_0011.json.gz,False,"{""0"": {""message"": ""Success""}}"
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r1,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,1,4,4,[PUT] <cupcake> (195) <kitchencounter> (238),False,False,true,true,False,True,graph_0013.json.gz,graph_0014.json.gz,False,"{""0"": {""message"": ""ScriptExcutor 0: EXECUTION_GENERAL: Script is impossible to execute\n\n""}}"
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r2,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,2,1,1,[WALK] <bedroom> (73),True,False,true,true,True,True,graph_0004.json.gz,graph_0005.json.gz,False,"{""0"": {""message"": ""Success""}}"
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r2,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,2,2,2,[GRAB] <cupcake> (195),True,False,false,false,True,True,graph_0007.json.gz,graph_0008.json.gz,False,"{""0"": {""message"": ""Success""}}"
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r2,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,2,3,3,[WALK] <kitchencounter> (238),True,False,true,true,True,True,graph_0010.json.gz,graph_0011.json.gz,False,"{""0"": {""message"": ""Success""}}"
placement_task_test_task1_C0_no_precheck_gpt-4o-2024-08-06_r2,placement_task,test_task1,gpt-4o-2024-08-06,C0_no_precheck,2,4,4,[PUT] <cupcake> (195) <kitchencounter> (238),False,False,true,true,False,True,graph_0013.json.gz,graph_0014.json.gz,False,"{""0"": {""message"": ""ScriptExcutor 0: EXECUTION_GENERAL: Script is impossible to execute\n\n""}}"
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18_r0,placement_task,test_task1,gpt-4o-mini-2024-07-18,C0_no_precheck,0,1,1,[WALK] <desk> (108),True,False,true,true,True,True,graph_0004.json.gz,graph_0005.json.gz,False,"{""0"": {""message"": ""Success""}}"
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18_r0,placement_task,test_task1,gpt-4o-mini-2024-07-18,C0_no_precheck,0,2,2,[GRAB] <cupcake> (195),True,False,true,true,True,True,graph_0007.json.gz,graph_0008.json.gz,False,"{""0"": {""message"": ""Success""}}"
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18_r0,placement_task,test_task1,gpt-4o-mini-2024-07-18,C0_no_precheck,0,3,3,[WALK] <cupcake> (196),True,False,true,true,True,True,graph_0010.json.gz,graph_0011.json.gz,False,"{""0"": {""message"": ""Success""}}"
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18_r0,placement_task,test_task1,gpt-4o-mini-2024-07-18,C0_no_precheck,0,4,4,[GRAB] <cupcake> (196),True,False,true,true,True,True,graph_0013.json.gz,graph_0014.json.gz,False,"{""0"": {""message"": ""Success""}}"
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18_r0,placement_task,test_task1,gpt-4o-mini-2024-07-18,C0_no_precheck,0,5,5,[WALK] <kitchencounter> (238),True,False,true,true,True,True,graph_0016.json.gz,graph_0017.json.gz,False,"{""0"": {""message"": ""Success""}}"
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18_r0,placement_task,test_task1,gpt-4o-mini-2024-07-18,C0_no_precheck,0,6,6,[PUT] <cupcake> (195) <kitchencounter> (238),False,False,true,true,False,True,graph_0019.json.gz,graph_0020.json.gz,False,"{""0"": {""message"": ""ScriptExcutor 0: EXECUTION_GENERAL: Script is impossible to execute\n\n""}}"
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18_r1,placement_task,test_task1,gpt-4o-mini-2024-07-18,C0_no_precheck,1,1,1,[WALK] <bedroom> (73),True,False,true,true,True,True,graph_0004.json.gz,graph_0005.json.gz,False,"{""0"": {""message"": ""Success""}}"
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18_r1,placement_task,test_task1,gpt-4o-mini-2024-07-18,C0_no_precheck,1,2,2,[OPEN] <desk> (108),False,False,false,false,False,True,graph_0007.json.gz,graph_0008.json.gz,False,"{""0"": {""message"": ""ScriptExcutor 0: PROCESS WALK: Can not select object: desk. REASON: Unknown\nEXECUTION_GENERAL: Script is impossible to execute\n\n""}}"
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18_r2,placement_task,test_task1,gpt-4o-mini-2024-07-18,C0_no_precheck,2,1,1,[WALK] <bedroom> (73),True,False,true,true,True,True,graph_0004.json.gz,graph_0005.json.gz,False,"{""0"": {""message"": ""Success""}}"
placement_task_test_task1_C0_no_precheck_gpt-4o-mini-2024-07-18_r2,placement_task,test_task1,gpt-4o-mini-2024-07-18,C0_no_precheck,2,2,2,[OPEN] <desk> (108),False,False,false,false,False,True,graph_0007.json.gz,graph_0008.json.gz,False,"{""0"": {""message"": ""ScriptExcutor 0: PROCESS WALK: Can not select object: desk. REASON: Unknown\nEXECUTION_GENERAL: Script is impossible to execute\n\n""}}"
placement_task_test_task1_C1_budgeted_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C1_budgeted,0,1,1,[WALK] <cupcake> (195),True,True,true,true,True,True,graph_0004.json.gz,graph_0005.json.gz,False,"{""0"": {""message"": ""Success""}}"
placement_task_test_task1_C1_budgeted_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C1_budgeted,0,2,2,[GRAB] <cupcake> (195),True,True,true,true,True,True,graph_0007.json.gz,graph_0008.json.gz,False,"{""0"": {""message"": ""Success""}}"
placement_task_test_task1_C1_budgeted_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C1_budgeted,0,3,3,[WALK] <kitchencounter> (238),True,True,true,true,True,True,graph_0010.json.gz,graph_0011.json.gz,False,"{""0"": {""message"": ""Success""}}"
placement_task_test_task1_C1_budgeted_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C1_budgeted,0,4,4,[PUT] <cupcake> (195) <kitchencounter> (238),True,True,true,true,True,True,graph_0013.json.gz,graph_0014.json.gz,False,"{""0"": {""message"": ""Success""}}"
placement_task_test_task1_C1_budgeted_gpt-4o-2024-08-06_r0,placement_task,test_task1,gpt-4o-2024-08-06,C1_budgeted,0,5,5,[WALK] <bedroom> (73),True,True,true,true,True,True,graph_0016.json.gz,graph_0017.json.gz,False,"{""0"": {""message"": ""Success""}}"
