task_type,prompt,model,task_id,task_name,without_outcome,with_outcome,success_delta,without_length,with_length
state_change_task,single-prompt,gpt-4o-mini,test_task1,Turn on all lightswitches,Success,Success,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task2,Turn on all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task3,Turn on all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task4,Turn on all lightswitches,Erroneous Terminate,Erroneous Terminate,0,2,3
state_change_task,single-prompt,gpt-4o-mini,test_task5,Turn on all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task6,Turn on all lightswitches,Erroneous Terminate,Erroneous Terminate,0,4,3
state_change_task,single-prompt,gpt-4o-mini,test_task7,Turn on all lightswitches,Success,Success,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task8,Turn on all lightswitches,Success,Erroneous Terminate,-1,6,4
state_change_task,single-prompt,gpt-4o-mini,test_task9,Turn on all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task10,Turn on all lightswitches,Success,Success,0,4,6
state_change_task,single-prompt,gpt-4o-mini,test_task11,Turn on all lightswitches,Success,Success,0,6,7
state_change_task,single-prompt,gpt-4o-mini,test_task12,Turn on all lightswitches,Success,Success,0,8,8
state_change_task,single-prompt,gpt-4o-mini,test_task13,Turn on all lightswitches,Success,Success,0,6,4
state_change_task,single-prompt,gpt-4o-mini,test_task14,Turn on all lightswitches,Erroneous Terminate,Erroneous Terminate,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task15,Turn on all lightswitches,Success,Success,0,6,6
state_change_task,single-prompt,gpt-4o-mini,test_task16,Turn on all lightswitches,Success,Success,0,8,8
state_change_task,single-prompt,gpt-4o-mini,test_task17,Turn on all tvs,Success,Success,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task18,Turn on all tvs,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task19,Turn on all tvs,Success,Execution Failure,-1,2,1
state_change_task,single-prompt,gpt-4o-mini,test_task20,Turn on all tvs,Success,Execution Failure,-1,4,0
state_change_task,single-prompt,gpt-4o-mini,test_task21,Turn off all lightswitches,Success,Success,0,8,7
state_change_task,single-prompt,gpt-4o-mini,test_task22,Turn off all lightswitches,Success,Success,0,6,6
state_change_task,single-prompt,gpt-4o-mini,test_task23,Turn off all lightswitches,Reaching Maximum Attempts,Success,1,12,6
state_change_task,single-prompt,gpt-4o-mini,test_task24,Turn off all lightswitches,Reaching Maximum Attempts,Success,1,8,7
state_change_task,single-prompt,gpt-4o-mini,test_task25,Turn off all lightswitches,Reaching Maximum Attempts,Success,1,12,7
state_change_task,single-prompt,gpt-4o-mini,test_task26,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,8,8
state_change_task,single-prompt,gpt-4o-mini,test_task27,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,8,8
state_change_task,single-prompt,gpt-4o-mini,test_task28,Turn off all lightswitches,Reaching Maximum Attempts,Success,1,4,3
state_change_task,single-prompt,gpt-4o-mini,test_task29,Turn off all lightswitches,Success,Success,0,11,6
state_change_task,single-prompt,gpt-4o-mini,test_task30,Turn off all lightswitches,Success,Success,0,3,7
state_change_task,single-prompt,gpt-4o-mini,test_task31,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,8,8
state_change_task,single-prompt,gpt-4o-mini,test_task32,Turn off all lightswitches,Reaching Maximum Attempts,Success,1,4,2
state_change_task,single-prompt,gpt-4o-mini,test_task33,Turn off all lightswitches,Success,Success,0,4,7
state_change_task,single-prompt,gpt-4o-mini,test_task34,Turn off all lightswitches,Reaching Maximum Attempts,Success,1,4,2
state_change_task,single-prompt,gpt-4o-mini,test_task35,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task36,Turn off all lightswitches,Success,Success,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task37,Turn off all tablelamps,Erroneous Terminate,Success,1,3,4
state_change_task,single-prompt,gpt-4o-mini,test_task38,Turn off all tablelamps,Erroneous Terminate,Erroneous Terminate,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task39,Turn off all tablelamps,Erroneous Terminate,Erroneous Terminate,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task40,Turn off all tablelamps,Success,Success,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task41,Turn off all computers,Success,Success,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task42,Turn off all computers,Reaching Maximum Attempts,Reaching Maximum Attempts,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task43,Turn off all computers,Reaching Maximum Attempts,Reaching Maximum Attempts,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task44,Turn off all computers,Success,Success,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task45,Turn off all tvs,Success,Success,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task46,Turn off all tvs,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task47,Turn off all tvs,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task48,Turn off all tvs,Success,Success,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task49,Turn on all lightswitches,Success,Success,0,0,0
state_change_task,single-prompt,gpt-4o-mini,test_task50,Turn on all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task51,Turn on all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task52,Turn on all lightswitches,Erroneous Terminate,Success,1,4,3
state_change_task,single-prompt,gpt-4o-mini,test_task53,Turn on all lightswitches,Success,Success,0,1,2
state_change_task,single-prompt,gpt-4o-mini,test_task54,Turn on all lightswitches,Erroneous Terminate,Erroneous Terminate,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task55,Turn on all lightswitches,Success,Success,0,4,3
state_change_task,single-prompt,gpt-4o-mini,test_task56,Turn on all lightswitches,Erroneous Terminate,Erroneous Terminate,0,4,3
state_change_task,single-prompt,gpt-4o-mini,test_task57,Turn on all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task58,Turn on all lightswitches,Success,Success,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task59,Turn on all lightswitches,Success,Success,0,6,5
state_change_task,single-prompt,gpt-4o-mini,test_task60,Turn on all lightswitches,Success,Success,0,6,10
state_change_task,single-prompt,gpt-4o-mini,test_task61,Turn on all lightswitches,Success,Success,0,6,4
state_change_task,single-prompt,gpt-4o-mini,test_task62,Turn on all lightswitches,Success,Success,0,7,6
state_change_task,single-prompt,gpt-4o-mini,test_task63,Turn on all lightswitches,Success,Success,0,6,6
state_change_task,single-prompt,gpt-4o-mini,test_task64,Turn on all lightswitches,Success,Erroneous Terminate,-1,8,6
state_change_task,single-prompt,gpt-4o-mini,test_task65,Turn off all lightswitches,Success,Reaching Maximum Attempts,-1,8,16
state_change_task,single-prompt,gpt-4o-mini,test_task66,Turn off all lightswitches,Success,Success,0,7,10
state_change_task,single-prompt,gpt-4o-mini,test_task67,Turn off all lightswitches,Success,Reaching Maximum Attempts,-1,9,12
state_change_task,single-prompt,gpt-4o-mini,test_task68,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,8,8
state_change_task,single-prompt,gpt-4o-mini,test_task69,Turn off all lightswitches,Success,Reaching Maximum Attempts,-1,9,12
state_change_task,single-prompt,gpt-4o-mini,test_task70,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,8,8
state_change_task,single-prompt,gpt-4o-mini,test_task71,Turn off all lightswitches,Reaching Maximum Attempts,Success,1,8,4
state_change_task,single-prompt,gpt-4o-mini,test_task72,Turn off all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task73,Turn off all lightswitches,Reaching Maximum Attempts,Success,1,12,11
state_change_task,single-prompt,gpt-4o-mini,test_task74,Turn off all lightswitches,Success,Success,0,4,5
state_change_task,single-prompt,gpt-4o-mini,test_task75,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,8,8
state_change_task,single-prompt,gpt-4o-mini,test_task76,Turn off all lightswitches,Success,Success,0,2,2
state_change_task,single-prompt,gpt-4o-mini,test_task77,Turn off all lightswitches,Success,Success,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task78,Turn off all lightswitches,Reaching Maximum Attempts,Success,1,4,3
state_change_task,single-prompt,gpt-4o-mini,test_task79,Turn off all lightswitches,Reaching Maximum Attempts,Reaching Maximum Attempts,0,4,4
state_change_task,single-prompt,gpt-4o-mini,test_task80,Turn off all lightswitches,Success,Reaching Maximum Attempts,-1,0,0
