model,arm,subset,n,success_original_rule,final_goal_satisfied,mean_successful_action_count,failed_execution_attempts,api_requests,estimated_usd_uncached
gpt-4o-2024-08-06,C0_no_precheck,all_four_diagnostic,4,3,3,4.25,1,39,0.033745
gpt-4o-mini-2024-07-18,C0_no_precheck,all_four_diagnostic,4,2,2,3.5,1,35,0.00175575
gpt-4o-2024-08-06,C1_llm_precheck,all_four_diagnostic,4,3,3,4.25,1,61,0.0468975
gpt-4o-mini-2024-07-18,C1_llm_precheck,all_four_diagnostic,4,3,3,3.25,1,55,0.00268815
gpt-4o-2024-08-06,C2_symbolic_precheck,all_four_diagnostic,4,3,3,5.0,1,50,0.049805
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,all_four_diagnostic,4,1,1,3.25,2,34,0.00187995
gpt-4o-2024-08-06,C0_no_precheck,reference_passed_only,3,3,3,4.666666666666667,0,31,0.026375
gpt-4o-mini-2024-07-18,C0_no_precheck,reference_passed_only,3,2,2,4.333333333333333,0,31,0.00154905
gpt-4o-2024-08-06,C1_llm_precheck,reference_passed_only,3,3,3,4.666666666666667,0,49,0.037675
gpt-4o-mini-2024-07-18,C1_llm_precheck,reference_passed_only,3,3,3,4.0,0,47,0.0022845
gpt-4o-2024-08-06,C2_symbolic_precheck,reference_passed_only,3,3,3,5.333333333333333,0,39,0.038915
gpt-4o-mini-2024-07-18,C2_symbolic_precheck,reference_passed_only,3,1,1,2.6666666666666665,1,21,0.001125
