task_type,test_task_name,selected_example_name,selected_example_id,cosine,runner_up_name,runner_up_cosine,top2_margin,exact_tie_n,near_tie_1e6_n,example_length,example_scene,example_initial_room,example_initial_states,example_actions,same_object,same_operation,same_destination,historical_selection_verified,task_id,test_scene,test_initial_room,test_initial_states,test_reference_length,test_reference_actions
state_change_task,Turn on all lightswitches,Turn on all tablelamps,example_task76,0.6107883453369141,Turn on all computers,0.5445488691329956,0.06623947620391846,1,1,6,3,kitchen,"[{""id"": 256, ""states"": [""OFF""]}, {""id"": 376, ""states"": [""OFF""]}, {""id"": 377, ""states"": [""OFF""]}]","[""[WALK] <tablelamp> (256)"", ""[SWITCHON] <tablelamp> (256)"", ""[WALK] <tablelamp> (376)"", ""[SWITCHON] <tablelamp> (376)"", ""[WALK] <tablelamp> (377)"", ""[SWITCHON] <tablelamp> (377)""]",False,True,True,False,test_task1,1,livingroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",0,[]
state_change_task,Turn on all lightswitches,Turn on all tablelamps,example_task76,0.6107883453369141,Turn on all computers,0.5445488691329956,0.06623947620391846,1,1,6,3,kitchen,"[{""id"": 256, ""states"": [""OFF""]}, {""id"": 376, ""states"": [""OFF""]}, {""id"": 377, ""states"": [""OFF""]}]","[""[WALK] <tablelamp> (256)"", ""[SWITCHON] <tablelamp> (256)"", ""[WALK] <tablelamp> (376)"", ""[SWITCHON] <tablelamp> (376)"", ""[WALK] <tablelamp> (377)"", ""[SWITCHON] <tablelamp> (377)""]",False,True,True,False,test_task2,1,bathroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""OFF""]}]",2,"[""[WALK] <lightswitch> (427)"", ""[SWITCHON] <lightswitch> (427)""]"
state_change_task,Turn on all lightswitches,Turn on all tablelamps,example_task76,0.6107883453369141,Turn on all computers,0.5445488691329956,0.06623947620391846,1,1,6,3,kitchen,"[{""id"": 256, ""states"": [""OFF""]}, {""id"": 376, ""states"": [""OFF""]}, {""id"": 377, ""states"": [""OFF""]}]","[""[WALK] <tablelamp> (256)"", ""[SWITCHON] <tablelamp> (256)"", ""[WALK] <tablelamp> (376)"", ""[SWITCHON] <tablelamp> (376)"", ""[WALK] <tablelamp> (377)"", ""[SWITCHON] <tablelamp> (377)""]",False,True,True,False,test_task3,1,kitchen,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""ON""]}]",2,"[""[WALK] <lightswitch> (261)"", ""[SWITCHON] <lightswitch> (261)""]"
state_change_task,Turn on all lightswitches,Turn on all tablelamps,example_task76,0.6107883453369141,Turn on all computers,0.5445488691329956,0.06623947620391846,1,1,6,3,kitchen,"[{""id"": 256, ""states"": [""OFF""]}, {""id"": 376, ""states"": [""OFF""]}, {""id"": 377, ""states"": [""OFF""]}]","[""[WALK] <tablelamp> (256)"", ""[SWITCHON] <tablelamp> (256)"", ""[WALK] <tablelamp> (376)"", ""[SWITCHON] <tablelamp> (376)"", ""[WALK] <tablelamp> (377)"", ""[SWITCHON] <tablelamp> (377)""]",False,True,True,False,test_task4,1,kitchen,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]",4,"[""[WALK] <lightswitch> (261)"", ""[SWITCHON] <lightswitch> (261)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHON] <lightswitch> (427)""]"
state_change_task,Turn on all lightswitches,Turn on all tablelamps,example_task76,0.6107883453369141,Turn on all computers,0.5445488691329956,0.06623947620391846,1,1,6,3,kitchen,"[{""id"": 256, ""states"": [""OFF""]}, {""id"": 376, ""states"": [""OFF""]}, {""id"": 377, ""states"": [""OFF""]}]","[""[WALK] <tablelamp> (256)"", ""[SWITCHON] <tablelamp> (256)"", ""[WALK] <tablelamp> (376)"", ""[SWITCHON] <tablelamp> (376)"", ""[WALK] <tablelamp> (377)"", ""[SWITCHON] <tablelamp> (377)""]",False,True,True,False,test_task5,1,bathroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",2,"[""[WALK] <lightswitch> (173)"", ""[SWITCHON] <lightswitch> (173)""]"
state_change_task,Turn on all lightswitches,Turn on all tablelamps,example_task76,0.6107883453369141,Turn on all computers,0.5445488691329956,0.06623947620391846,1,1,6,3,kitchen,"[{""id"": 256, ""states"": [""OFF""]}, {""id"": 376, ""states"": [""OFF""]}, {""id"": 377, ""states"": [""OFF""]}]","[""[WALK] <tablelamp> (256)"", ""[SWITCHON] <tablelamp> (256)"", ""[WALK] <tablelamp> (376)"", ""[SWITCHON] <tablelamp> (376)"", ""[WALK] <tablelamp> (377)"", ""[SWITCHON] <tablelamp> (377)""]",False,True,True,False,test_task6,1,kitchen,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""OFF""]}]",4,"[""[WALK] <lightswitch> (173)"", ""[SWITCHON] <lightswitch> (173)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHON] <lightswitch> (427)""]"
state_change_task,Turn on all lightswitches,Turn on all tablelamps,example_task76,0.6107883453369141,Turn on all computers,0.5445488691329956,0.06623947620391846,1,1,6,3,kitchen,"[{""id"": 256, ""states"": [""OFF""]}, {""id"": 376, ""states"": [""OFF""]}, {""id"": 377, ""states"": [""OFF""]}]","[""[WALK] <tablelamp> (256)"", ""[SWITCHON] <tablelamp> (256)"", ""[WALK] <tablelamp> (376)"", ""[SWITCHON] <tablelamp> (376)"", ""[WALK] <tablelamp> (377)"", ""[SWITCHON] <tablelamp> (377)""]",False,True,True,False,test_task7,1,kitchen,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""ON""]}]",4,"[""[WALK] <lightswitch> (173)"", ""[SWITCHON] <lightswitch> (173)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHON] <lightswitch> (261)""]"
state_change_task,Turn on all lightswitches,Turn on all tablelamps,example_task76,0.6107883453369141,Turn on all computers,0.5445488691329956,0.06623947620391846,1,1,6,3,kitchen,"[{""id"": 256, ""states"": [""OFF""]}, {""id"": 376, ""states"": [""OFF""]}, {""id"": 377, ""states"": [""OFF""]}]","[""[WALK] <tablelamp> (256)"", ""[SWITCHON] <tablelamp> (256)"", ""[WALK] <tablelamp> (376)"", ""[SWITCHON] <tablelamp> (376)"", ""[WALK] <tablelamp> (377)"", ""[SWITCHON] <tablelamp> (377)""]",False,True,True,False,test_task8,1,kitchen,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]",6,"[""[WALK] <lightswitch> (173)"", ""[SWITCHON] <lightswitch> (173)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHON] <lightswitch> (261)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHON] <lightswitch> (427)""]"
state_change_task,Turn on all lightswitches,Turn on all tablelamps,example_task76,0.6107883453369141,Turn on all computers,0.5445488691329956,0.06623947620391846,1,1,6,3,kitchen,"[{""id"": 256, ""states"": [""OFF""]}, {""id"": 376, ""states"": [""OFF""]}, {""id"": 377, ""states"": [""OFF""]}]","[""[WALK] <tablelamp> (256)"", ""[SWITCHON] <tablelamp> (256)"", ""[WALK] <tablelamp> (376)"", ""[SWITCHON] <tablelamp> (376)"", ""[WALK] <tablelamp> (377)"", ""[SWITCHON] <tablelamp> (377)""]",False,True,True,False,test_task9,1,bedroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",2,"[""[WALK] <lightswitch> (71)"", ""[SWITCHON] <lightswitch> (71)""]"
state_change_task,Turn on all lightswitches,Turn on all tablelamps,example_task76,0.6107883453369141,Turn on all computers,0.5445488691329956,0.06623947620391846,1,1,6,3,kitchen,"[{""id"": 256, ""states"": [""OFF""]}, {""id"": 376, ""states"": [""OFF""]}, {""id"": 377, ""states"": [""OFF""]}]","[""[WALK] <tablelamp> (256)"", ""[SWITCHON] <tablelamp> (256)"", ""[WALK] <tablelamp> (376)"", ""[SWITCHON] <tablelamp> (376)"", ""[WALK] <tablelamp> (377)"", ""[SWITCHON] <tablelamp> (377)""]",False,True,True,False,test_task10,1,bedroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""OFF""]}]",4,"[""[WALK] <lightswitch> (71)"", ""[SWITCHON] <lightswitch> (71)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHON] <lightswitch> (427)""]"
