model,phase,requests,input_tokens,output_tokens,estimated_usd_uncached,sum_request_seconds
gpt-4o-mini-2024-07-18,precondition,84,13941,1206,0.00281475,61.716687926018494
gpt-4o-2024-08-06,precondition,84,13941,98,0.0358325,59.56367639101154
gpt-4o-mini-2024-07-18,termination,48,4215,48,0.0006610499999999999,32.67045117298767
gpt-4o-2024-08-06,termination,48,4215,48,0.0110175,30.810428085009335
gpt-4o-mini-2024-07-18,unmet,3,887,60,0.00016905,3.09658233799928
gpt-4o-mini-2024-07-18,C1_llm_feedback,3,1287,30,0.00021105,2.3874841760007257
gpt-4o-mini-2024-07-18,C2_symbolic_feedback,8,3140,84,0.0005214,6.576398400993639
gpt-4o-mini-2024-07-18,C4_neutral_revision,8,2943,86,0.00049305,6.64301062899176
gpt-4o-2024-08-06,unmet,4,922,59,0.002895,4.004491607003729
gpt-4o-2024-08-06,C1_llm_feedback,4,1653,61,0.0047425,2.7626251010005944
gpt-4o-2024-08-06,C2_symbolic_feedback,8,3140,84,0.00869,5.078282752001542
gpt-4o-2024-08-06,C4_neutral_revision,8,2943,94,0.0082975,5.18491396900572
