task_type,split,task_id,task_name,template,operation,object,destination,scene,initial_room,initial_states,goal_states,goal_count,required_state_changes,reference_length,reference_actions,initially_complete_proxy
state_change_task,test,test_task1,Turn on all lightswitches,Turn {state} all {object},on,lightswitches,,1,livingroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]","[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",4,0,0,[],True
state_change_task,test,test_task2,Turn on all lightswitches,Turn {state} all {object},on,lightswitches,,1,bathroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""OFF""]}]","[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",4,1,2,"[""[WALK] <lightswitch> (427)"", ""[SWITCHON] <lightswitch> (427)""]",False
state_change_task,test,test_task3,Turn on all lightswitches,Turn {state} all {object},on,lightswitches,,1,kitchen,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""ON""]}]","[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",4,1,2,"[""[WALK] <lightswitch> (261)"", ""[SWITCHON] <lightswitch> (261)""]",False
state_change_task,test,test_task4,Turn on all lightswitches,Turn {state} all {object},on,lightswitches,,1,kitchen,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]","[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",4,2,4,"[""[WALK] <lightswitch> (261)"", ""[SWITCHON] <lightswitch> (261)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHON] <lightswitch> (427)""]",False
state_change_task,test,test_task5,Turn on all lightswitches,Turn {state} all {object},on,lightswitches,,1,bathroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]","[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",4,1,2,"[""[WALK] <lightswitch> (173)"", ""[SWITCHON] <lightswitch> (173)""]",False
state_change_task,test,test_task6,Turn on all lightswitches,Turn {state} all {object},on,lightswitches,,1,kitchen,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""OFF""]}]","[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",4,2,4,"[""[WALK] <lightswitch> (173)"", ""[SWITCHON] <lightswitch> (173)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHON] <lightswitch> (427)""]",False
state_change_task,test,test_task7,Turn on all lightswitches,Turn {state} all {object},on,lightswitches,,1,kitchen,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""ON""]}]","[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",4,2,4,"[""[WALK] <lightswitch> (173)"", ""[SWITCHON] <lightswitch> (173)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHON] <lightswitch> (261)""]",False
state_change_task,test,test_task8,Turn on all lightswitches,Turn {state} all {object},on,lightswitches,,1,kitchen,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]","[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",4,3,6,"[""[WALK] <lightswitch> (173)"", ""[SWITCHON] <lightswitch> (173)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHON] <lightswitch> (261)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHON] <lightswitch> (427)""]",False
state_change_task,test,test_task9,Turn on all lightswitches,Turn {state} all {object},on,lightswitches,,1,bedroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]","[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",4,1,2,"[""[WALK] <lightswitch> (71)"", ""[SWITCHON] <lightswitch> (71)""]",False
state_change_task,test,test_task10,Turn on all lightswitches,Turn {state} all {object},on,lightswitches,,1,bedroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""OFF""]}]","[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",4,2,4,"[""[WALK] <lightswitch> (71)"", ""[SWITCHON] <lightswitch> (71)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHON] <lightswitch> (427)""]",False
state_change_task,test,test_task11,Turn on all lightswitches,Turn {state} all {object},on,lightswitches,,1,bedroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""ON""]}]","[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",4,2,4,"[""[WALK] <lightswitch> (71)"", ""[SWITCHON] <lightswitch> (71)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHON] <lightswitch> (261)""]",False
state_change_task,test,test_task12,Turn on all lightswitches,Turn {state} all {object},on,lightswitches,,1,bathroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]","[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",4,3,6,"[""[WALK] <lightswitch> (71)"", ""[SWITCHON] <lightswitch> (71)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHON] <lightswitch> (261)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHON] <lightswitch> (427)""]",False
state_change_task,test,test_task13,Turn on all lightswitches,Turn {state} all {object},on,lightswitches,,1,bathroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]","[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",4,2,4,"[""[WALK] <lightswitch> (71)"", ""[SWITCHON] <lightswitch> (71)"", ""[WALK] <lightswitch> (173)"", ""[SWITCHON] <lightswitch> (173)""]",False
state_change_task,test,test_task14,Turn on all lightswitches,Turn {state} all {object},on,lightswitches,,1,bathroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""OFF""]}]","[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",4,3,6,"[""[WALK] <lightswitch> (71)"", ""[SWITCHON] <lightswitch> (71)"", ""[WALK] <lightswitch> (173)"", ""[SWITCHON] <lightswitch> (173)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHON] <lightswitch> (427)""]",False
state_change_task,test,test_task15,Turn on all lightswitches,Turn {state} all {object},on,lightswitches,,1,bathroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""ON""]}]","[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",4,3,6,"[""[WALK] <lightswitch> (71)"", ""[SWITCHON] <lightswitch> (71)"", ""[WALK] <lightswitch> (173)"", ""[SWITCHON] <lightswitch> (173)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHON] <lightswitch> (261)""]",False
state_change_task,test,test_task16,Turn on all lightswitches,Turn {state} all {object},on,lightswitches,,1,bedroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]","[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]",4,4,8,"[""[WALK] <lightswitch> (71)"", ""[SWITCHON] <lightswitch> (71)"", ""[WALK] <lightswitch> (173)"", ""[SWITCHON] <lightswitch> (173)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHON] <lightswitch> (261)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHON] <lightswitch> (427)""]",False
state_change_task,test,test_task17,Turn on all tvs,Turn {state} all {object},on,tvs,,1,bathroom,"[{""id"": 264, ""states"": [""ON""]}, {""id"": 426, ""states"": [""ON""]}]","[{""id"": 264, ""states"": [""ON""]}, {""id"": 426, ""states"": [""ON""]}]",2,0,0,[],True
state_change_task,test,test_task18,Turn on all tvs,Turn {state} all {object},on,tvs,,1,bedroom,"[{""id"": 264, ""states"": [""ON""]}, {""id"": 426, ""states"": [""OFF""]}]","[{""id"": 264, ""states"": [""ON""]}, {""id"": 426, ""states"": [""ON""]}]",2,1,2,"[""[WALK] <tv> (426)"", ""[SWITCHON] <tv> (426)""]",False
state_change_task,test,test_task19,Turn on all tvs,Turn {state} all {object},on,tvs,,1,kitchen,"[{""id"": 264, ""states"": [""OFF""]}, {""id"": 426, ""states"": [""ON""]}]","[{""id"": 264, ""states"": [""ON""]}, {""id"": 426, ""states"": [""ON""]}]",2,1,2,"[""[WALK] <tv> (264)"", ""[SWITCHON] <tv> (264)""]",False
state_change_task,test,test_task20,Turn on all tvs,Turn {state} all {object},on,tvs,,1,kitchen,"[{""id"": 264, ""states"": [""OFF""]}, {""id"": 426, ""states"": [""OFF""]}]","[{""id"": 264, ""states"": [""ON""]}, {""id"": 426, ""states"": [""ON""]}]",2,2,4,"[""[WALK] <tv> (264)"", ""[SWITCHON] <tv> (264)"", ""[WALK] <tv> (426)"", ""[SWITCHON] <tv> (426)""]",False
state_change_task,test,test_task21,Turn off all lightswitches,Turn {state} all {object},off,lightswitches,,1,livingroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]","[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]",4,4,8,"[""[WALK] <lightswitch> (71)"", ""[SWITCHOFF] <lightswitch> (71)"", ""[WALK] <lightswitch> (173)"", ""[SWITCHOFF] <lightswitch> (173)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHOFF] <lightswitch> (261)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHOFF] <lightswitch> (427)""]",False
state_change_task,test,test_task22,Turn off all lightswitches,Turn {state} all {object},off,lightswitches,,1,livingroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""OFF""]}]","[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]",4,3,6,"[""[WALK] <lightswitch> (71)"", ""[SWITCHOFF] <lightswitch> (71)"", ""[WALK] <lightswitch> (173)"", ""[SWITCHOFF] <lightswitch> (173)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHOFF] <lightswitch> (261)""]",False
state_change_task,test,test_task23,Turn off all lightswitches,Turn {state} all {object},off,lightswitches,,1,livingroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""ON""]}]","[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]",4,3,6,"[""[WALK] <lightswitch> (71)"", ""[SWITCHOFF] <lightswitch> (71)"", ""[WALK] <lightswitch> (173)"", ""[SWITCHOFF] <lightswitch> (173)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHOFF] <lightswitch> (427)""]",False
state_change_task,test,test_task24,Turn off all lightswitches,Turn {state} all {object},off,lightswitches,,1,livingroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]","[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]",4,2,4,"[""[WALK] <lightswitch> (71)"", ""[SWITCHOFF] <lightswitch> (71)"", ""[WALK] <lightswitch> (173)"", ""[SWITCHOFF] <lightswitch> (173)""]",False
state_change_task,test,test_task25,Turn off all lightswitches,Turn {state} all {object},off,lightswitches,,1,bathroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]","[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]",4,3,6,"[""[WALK] <lightswitch> (71)"", ""[SWITCHOFF] <lightswitch> (71)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHOFF] <lightswitch> (261)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHOFF] <lightswitch> (427)""]",False
state_change_task,test,test_task26,Turn off all lightswitches,Turn {state} all {object},off,lightswitches,,1,livingroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""OFF""]}]","[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]",4,2,4,"[""[WALK] <lightswitch> (71)"", ""[SWITCHOFF] <lightswitch> (71)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHOFF] <lightswitch> (261)""]",False
state_change_task,test,test_task27,Turn off all lightswitches,Turn {state} all {object},off,lightswitches,,1,kitchen,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""ON""]}]","[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]",4,2,4,"[""[WALK] <lightswitch> (71)"", ""[SWITCHOFF] <lightswitch> (71)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHOFF] <lightswitch> (427)""]",False
state_change_task,test,test_task28,Turn off all lightswitches,Turn {state} all {object},off,lightswitches,,1,livingroom,"[{""id"": 71, ""states"": [""ON""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]","[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]",4,1,2,"[""[WALK] <lightswitch> (71)"", ""[SWITCHOFF] <lightswitch> (71)""]",False
state_change_task,test,test_task29,Turn off all lightswitches,Turn {state} all {object},off,lightswitches,,1,livingroom,"[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""ON""]}, {""id"": 261, ""states"": [""ON""]}, {""id"": 427, ""states"": [""ON""]}]","[{""id"": 71, ""states"": [""OFF""]}, {""id"": 173, ""states"": [""OFF""]}, {""id"": 261, ""states"": [""OFF""]}, {""id"": 427, ""states"": [""OFF""]}]",4,3,6,"[""[WALK] <lightswitch> (173)"", ""[SWITCHOFF] <lightswitch> (173)"", ""[WALK] <lightswitch> (261)"", ""[SWITCHOFF] <lightswitch> (261)"", ""[WALK] <lightswitch> (427)"", ""[SWITCHOFF] <lightswitch> (427)""]",False
