task_type,method,metric,paper,recomputed,match
state_change_task,baseline/gpt-4o,SR,0.032,0.032,True
state_change_task,baseline/gpt-4o,AEFR,0.0,0.0,True
state_change_task,baseline/gpt-4o,FRRMA,0.535,0.535,True
state_change_task,baseline/gpt-4o,ETFR,0.433,0.433,True
state_change_task,baseline/gpt-4o,Average Steps,10.481,10.481,True
state_change_task,single-prompt/gpt-4o-mini/precheck,SR,0.625,0.625,True
state_change_task,single-prompt/gpt-4o-mini/precheck,AEFR,0.026,0.026,True
state_change_task,single-prompt/gpt-4o-mini/precheck,FRRMA,0.231,0.231,True
state_change_task,single-prompt/gpt-4o-mini/precheck,ETFR,0.119,0.119,True
state_change_task,single-prompt/gpt-4o-mini/precheck,Average Steps,4.747,4.747,True
state_change_task,single-prompt/gpt-4o/precheck,SR,0.788,0.788,True
state_change_task,single-prompt/gpt-4o/precheck,AEFR,0.016,0.016,True
state_change_task,single-prompt/gpt-4o/precheck,FRRMA,0.173,0.173,True
state_change_task,single-prompt/gpt-4o/precheck,ETFR,0.022,0.022,True
state_change_task,single-prompt/gpt-4o/precheck,Average Steps,4.381,4.381,True
state_change_task,multi-prompts/gpt-4o-mini/precheck,SR,0.75,0.75,True
state_change_task,multi-prompts/gpt-4o-mini/precheck,AEFR,0.045,0.045,True
state_change_task,multi-prompts/gpt-4o-mini/precheck,FRRMA,0.183,0.183,True
state_change_task,multi-prompts/gpt-4o-mini/precheck,ETFR,0.022,0.022,True
state_change_task,multi-prompts/gpt-4o-mini/precheck,Average Steps,4.917,4.917,True
state_change_task,multi-prompts/gpt-4o/precheck,SR,0.894,0.894,True
state_change_task,multi-prompts/gpt-4o/precheck,AEFR,0.019,0.019,True
state_change_task,multi-prompts/gpt-4o/precheck,FRRMA,0.0,0.0,True
state_change_task,multi-prompts/gpt-4o/precheck,ETFR,0.087,0.087,True
state_change_task,multi-prompts/gpt-4o/precheck,Average Steps,3.391,3.391,True
state_change_task,single-prompt/gpt-4o-mini/no-precheck,SR,0.615,0.615,True
state_change_task,single-prompt/gpt-4o-mini/no-precheck,AEFR,0.003,0.003,True
state_change_task,single-prompt/gpt-4o-mini/no-precheck,FRRMA,0.253,0.253,True
state_change_task,single-prompt/gpt-4o-mini/no-precheck,ETFR,0.128,0.128,True
state_change_task,single-prompt/gpt-4o-mini/no-precheck,Average Steps,4.872,4.872,True
state_change_task,single-prompt/gpt-4o/no-precheck,SR,0.76,0.76,True
state_change_task,single-prompt/gpt-4o/no-precheck,AEFR,0.016,0.016,True
state_change_task,single-prompt/gpt-4o/no-precheck,FRRMA,0.189,0.189,True
state_change_task,single-prompt/gpt-4o/no-precheck,ETFR,0.035,0.035,True
state_change_task,single-prompt/gpt-4o/no-precheck,Average Steps,4.449,4.449,True
state_change_task,multi-prompts/gpt-4o-mini/no-precheck,SR,0.696,0.696,True
state_change_task,multi-prompts/gpt-4o-mini/no-precheck,AEFR,0.016,0.016,True
state_change_task,multi-prompts/gpt-4o-mini/no-precheck,FRRMA,0.253,0.253,True
state_change_task,multi-prompts/gpt-4o-mini/no-precheck,ETFR,0.035,0.035,True
