model,operation,variant,n,gold,accepted,correct_known,response_variants
gpt-4o-mini-2024-07-18,WALK,valid,3,true,3,3,1
gpt-4o-2024-08-06,WALK,valid,3,true,3,3,1
gpt-4o-mini-2024-07-18,WALK,violate_1,3,false,0,3,1
gpt-4o-2024-08-06,WALK,violate_1,3,false,0,3,1
gpt-4o-mini-2024-07-18,GRAB,valid,3,true,3,3,1
gpt-4o-2024-08-06,GRAB,valid,3,true,3,3,1
gpt-4o-mini-2024-07-18,GRAB,violate_1,3,false,3,0,1
gpt-4o-2024-08-06,GRAB,violate_1,3,false,3,0,1
gpt-4o-mini-2024-07-18,GRAB,violate_2,3,false,0,3,1
gpt-4o-2024-08-06,GRAB,violate_2,3,false,0,3,1
gpt-4o-mini-2024-07-18,SWITCHON,valid,3,true,3,3,1
gpt-4o-2024-08-06,SWITCHON,valid,3,true,3,3,1
gpt-4o-mini-2024-07-18,SWITCHON,violate_1,3,false,3,0,1
gpt-4o-2024-08-06,SWITCHON,violate_1,3,false,1,2,2
gpt-4o-mini-2024-07-18,SWITCHON,violate_2,3,false,0,3,1
gpt-4o-2024-08-06,SWITCHON,violate_2,3,false,0,3,2
gpt-4o-mini-2024-07-18,SWITCHON,unknown,3,unknown,0,,1
gpt-4o-2024-08-06,SWITCHON,unknown,3,unknown,0,,1
gpt-4o-mini-2024-07-18,SWITCHOFF,valid,3,true,3,3,1
gpt-4o-2024-08-06,SWITCHOFF,valid,3,true,3,3,1
gpt-4o-mini-2024-07-18,SWITCHOFF,violate_1,3,false,3,0,1
gpt-4o-2024-08-06,SWITCHOFF,violate_1,3,false,3,0,1
gpt-4o-mini-2024-07-18,SWITCHOFF,violate_2,3,false,0,3,1
gpt-4o-2024-08-06,SWITCHOFF,violate_2,3,false,0,3,1
gpt-4o-mini-2024-07-18,SWITCHOFF,unknown,3,unknown,0,,1
gpt-4o-2024-08-06,SWITCHOFF,unknown,3,unknown,0,,1
gpt-4o-mini-2024-07-18,OPEN,valid,3,true,3,3,1
gpt-4o-2024-08-06,OPEN,valid,3,true,3,3,1
gpt-4o-mini-2024-07-18,OPEN,violate_1,3,false,3,0,1
gpt-4o-2024-08-06,OPEN,violate_1,3,false,3,0,1
gpt-4o-mini-2024-07-18,OPEN,violate_2,3,false,0,3,1
gpt-4o-2024-08-06,OPEN,violate_2,3,false,0,3,1
gpt-4o-mini-2024-07-18,OPEN,unknown,3,unknown,0,,1
gpt-4o-2024-08-06,OPEN,unknown,3,unknown,0,,2
gpt-4o-mini-2024-07-18,CLOSE,valid,3,true,3,3,1
gpt-4o-2024-08-06,CLOSE,valid,3,true,3,3,1
gpt-4o-mini-2024-07-18,CLOSE,violate_1,3,false,3,0,1
gpt-4o-2024-08-06,CLOSE,violate_1,3,false,3,0,1
gpt-4o-mini-2024-07-18,CLOSE,violate_2,3,false,0,3,1
gpt-4o-2024-08-06,CLOSE,violate_2,3,false,0,3,1
gpt-4o-mini-2024-07-18,CLOSE,unknown,3,unknown,0,,1
gpt-4o-2024-08-06,CLOSE,unknown,3,unknown,0,,1
gpt-4o-mini-2024-07-18,PUT,valid,3,true,3,3,1
gpt-4o-2024-08-06,PUT,valid,3,true,3,3,1
gpt-4o-mini-2024-07-18,PUT,violate_1,3,false,0,3,1
gpt-4o-2024-08-06,PUT,violate_1,3,false,0,3,1
gpt-4o-mini-2024-07-18,PUT,violate_2,3,false,3,0,2
gpt-4o-2024-08-06,PUT,violate_2,3,false,3,0,1
gpt-4o-mini-2024-07-18,PUTIN,valid,3,true,3,3,1
gpt-4o-2024-08-06,PUTIN,valid,3,true,3,3,1
gpt-4o-mini-2024-07-18,PUTIN,violate_1,3,false,0,3,3
gpt-4o-2024-08-06,PUTIN,violate_1,3,false,0,3,2
gpt-4o-mini-2024-07-18,PUTIN,violate_2,3,false,3,0,1
gpt-4o-2024-08-06,PUTIN,violate_2,3,false,3,0,1
gpt-4o-mini-2024-07-18,PUTIN,violate_3,3,false,0,3,1
gpt-4o-2024-08-06,PUTIN,violate_3,3,false,0,3,2
